ability_id,ability_short_effect_markup,ability_short_effect_html
84,Doubles {Speed;STAT;SPEED} upon using or losing a held item.,"Doubles <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> upon using or losing a held item."
85,Halves damage from {FIRE;TYPE;Fire} moves and {burns;STATUS;burn}.,"Halves damage from <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span> moves and <a href=""/status_conditions/burn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>burns</span><img src=""https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa"" width=""20"" height=""20"" alt=""Status Condition Icon for Burn"" style=""width: 20px; height: 20px""></a>."
86,Doubles the Pokémon's {stat;STAT;STATS} modifiers. These doubled modifiers are still capped at -6 or 6 stages.,"Doubles the Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> modifiers. These doubled modifiers are still capped at -6 or 6 stages."
87,"Causes <span style=""font-size: 1.3rem"">⅛</span> max {HP;STAT;HP} in damage each turn during {harsh sunlight;WEATHER;HARSHSUNLIGHT}, but heals for <span style=""font-size: 1.3rem"">⅛</span> max {HP;STAT;HP} during {rain;WEATHER;RAIN}. Increases damage from {FIRE;TYPE;Fire} moves to 1.25x, but absorbs {WATER;TYPE;Water} moves, healing for <span style=""font-size: 1.3rem"">¼</span> max HP.","Causes <span style=""font-size: 1.3rem"">⅛</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> in damage each turn during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, but heals for <span style=""font-size: 1.3rem"">⅛</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>. Increases damage from <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span> moves to 1.25x, but absorbs <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span> moves, healing for <span style=""font-size: 1.3rem"">¼</span> max HP."
88,Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle.,Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle.
89,Strengthens punch-based moves to 1.2x their power.,Strengthens punch-based moves to 1.2x their power.
90,"Heals for <span style=""font-size: 1.3rem"">⅛</span> max {HP;STAT;HP} after each turn when {poisoned;STATUS;poison} in place of damage.","Heals for <span style=""font-size: 1.3rem"">⅛</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> after each turn when <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoned</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a> in place of damage."
91,Increases the {same-type attack bonus;STAT;STAB} from 1.5x to 2x.,"Increases the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">same-type attack bonus</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/misc/stab_bonus.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> from 1.5x to 2x."
92,Extends two-to-five-hit moves and {Triple Kick;MOVE;triple-kick} to their full length every time.,"Extends two-to-five-hit moves and <a href=""/moves/triple-kick"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Triple Kick</span></a> to their full length every time."
93,Cures any {major status effect;STATUS;-} after each turn during {rain;WEATHER;RAIN}.,"Cures any <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a> after each turn during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
94,"Increases {Special Attack;STAT;SPATK} to 1.5x but costs <span style=""font-size: 1.3rem"">⅛</span> max {HP;STAT;HP} after each turn during {harsh sunlight;WEATHER;HARSHSUNLIGHT}.","Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x but costs <span style=""font-size: 1.3rem"">⅛</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> after each turn during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
95,Increases {Speed;STAT;SPEED} to 1.5x with a {major status effect;STATUS;-}.,"Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x with a <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a>."
96,Makes the Pokémon's moves all act {NORMAL;TYPE;Normal}-type.,"Makes the Pokémon's moves all act <span style=""background-color: #A1A1A1; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Normal"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Normal""><span style=""color: rgb(255, 255, 255);"">Normal</span></a></span>-type."
97,Strengthens {critical hits;STAT;CRIT} to inflict 3x damage rather than 2x.,"Strengthens <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">critical hits</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/stat_crit.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to inflict 3x damage rather than 2x."
98,Protects against damage not directly caused by a move.,Protects against damage not directly caused by a move.
99,Ensures all moves used by and against the Pokémon hit.,Ensures all moves used by and against the Pokémon hit.
100,Makes the Pokémon move last within its move's priority bracket.,Makes the Pokémon move last within its move's priority bracket.
101,Strengthens moves of 60 base power or less to 1.5x their power.,Strengthens moves of 60 base power or less to 1.5x their power.
102,Protects against {major status effects;STATUS;-} during {harsh sunlight;WEATHER;HARSHSUNLIGHT}.,"Protects against <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effects</span></a> during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
103,Prevents the Pokémon from using its held item in battle.,Prevents the Pokémon from using its held item in battle.
104,Bypasses targets' abilities if they could hinder or prevent a move.,Bypasses targets' abilities if they could hinder or prevent a move.
105,Raises moves' {critical hit;STAT;CRIT} rates one stage.,"Raises moves' <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">critical hit</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/stat_crit.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> rates one stage."
106,"Damages the attacker for <span style=""font-size: 1.3rem"">¼</span> its max {HP;STAT;HP} when knocked out by a contact move.","Damages the attacker for <span style=""font-size: 1.3rem"">¼</span> its max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when knocked out by a contact move."
107,"Notifies all trainers upon entering battle if an opponent has a super effective move, {Self Destruct;MOVE;self-destruct}, {Explosion;MOVE;explosion}, or a one-hit KO move.","Notifies all trainers upon entering battle if an opponent has a super effective move, <a href=""/moves/self-destruct"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Self Destruct</span></a>, <a href=""/moves/explosion"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Explosion</span></a>, or a one-hit KO move."
108,Reveals the opponents' strongest move upon entering battle.,Reveals the opponents' strongest move upon entering battle.
109,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
110,Doubles damage inflicted with not very effective moves.,Doubles damage inflicted with not very effective moves.
111,"Decreases damage taken from super effective moves by <span style=""""font-size: 1.3rem"""">¼</span>.","Decreases damage taken from super effective moves by <span style="""">¼</span>."
112,Halves {Attack;STAT;ATTACK} and {Speed;STAT;SPEED} for five turns upon entering battle.,"Halves <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> for five turns upon entering battle."
113,Lets the Pokémon's {NORMAL;TYPE;Normal} and {Fighting;TYPE;Fighting} moves hit {GHOST;TYPE;Ghost} Pokémon.,"Lets the Pokémon's <span style=""background-color: #A1A1A1; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Normal"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Normal""><span style=""color: rgb(255, 255, 255);"">Normal</span></a></span> and <span style=""background-color: #F08832; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fighting"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/a6267911df02f96fe84cab10a2af507d0cb3d21186227f0ab2cd8fa2dac066d4"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fighting""><span style=""color: rgb(255, 255, 255);"">Fighting</span></a></span> moves hit <span style=""background-color: #6C436E; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ghost"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9466a004c5a0de9f165a87f3d6c7b6137ec1e333d6189b75a629da994fdfcecc"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ghost""><span style=""color: rgb(255, 255, 255);"">Ghost</span></a></span> Pokémon."
114,"Redirects single-target {WATER;TYPE;Water} moves to this Pokémon where possible. Absorbs Water moves, raising {Special Attack;STAT;SPATK} one stage.","Redirects single-target <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span> moves to this Pokémon where possible. Absorbs Water moves, raising <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage."
115,"Heals for <span style=""font-size: 1.3rem"">¹⁄₁₆</span> max {HP;STAT;HP} after each turn during hail. Protects against hail damage.","Heals for <span style=""font-size: 1.3rem"">¹⁄₁₆</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> after each turn during hail. Protects against hail damage."
116,"Decreases damage taken from super effective moves by <span style=""""font-size: 1.3rem"""">¼</span>.","Decreases damage taken from super effective moves by <span style="""">¼</span>."
117,Summons {hail;WEATHER;HAIL} that lasts indefinitely upon entering battle.,"Summons <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">hail</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_blizzard_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> that lasts indefinitely upon entering battle."
118,The Pokémon may pick up {Honey;ITEM;honey} after battle.,"The Pokémon may pick up <a href=""/items/honey"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Honey</span><img src=""https://cdn.pokedb.org/ad197263ad397d3ffaafe070c60a92eaeefccbb90f0faa6106cc63cc3af06bdew20h20"" width=""20"" height=""20"" alt=""Item Icon for Honey"" style=""width: 20px; height: 20px""></a> after battle."
119,Reveals an opponent's held item upon entering battle.,Reveals an opponent's held item upon entering battle.
120,Strengthens recoil moves to 1.2x their power.,Strengthens recoil moves to 1.2x their power.
121,Changes {Arceus;POKEMON;arceus}'s type and form to match its held Plate.,"Changes <a href=""/pokemon/arceus"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Arceus</span><img src=""https://cdn.pokedb.org/14ac9cbaac51130b9b8ed3e210fd7aea1ac6bc4ee1d7a17743cea37f3d3e58d4w40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Arceus"" style=""width: 20px; height: 20px""></a>'s type and form to match its held Plate."
122,Increases friendly Pokémon's {Attack;STAT;ATTACK} and {Special Defense;STAT;SPDEF} to 1.5x during {harsh sunlight;WEATHER;HARSHSUNLIGHT}.,"Increases friendly Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spdef.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
123,"Damages {sleeping;STATUS;sleep} opponents for <span style=""font-size: 1.3rem"">⅛</span> their max {HP;STAT;HP} after each turn.","Damages <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>sleeping</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a> opponents for <span style=""font-size: 1.3rem"">⅛</span> their max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> after each turn."
124,Steals attacking Pokémon's held items on contact.,Steals attacking Pokémon's held items on contact.
125,"Strengthens moves with extra effects to 1.3x their power, but prevents their extra effects.","Strengthens moves with extra effects to 1.3x their power, but prevents their extra effects."
126,Inverts {stat;STAT;STATS} changes.,"Inverts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> changes."
127,Prevents opposing Pokémon from eating held Berries.,Prevents opposing Pokémon from eating held Berries.
128,Raises {Attack;STAT;ATTACK} two stages upon having any stat lowered.,"Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> two stages upon having any stat lowered."
129,Halves {Attack;STAT;ATTACK} and {Special Attack;STAT;SPATK} at 50% max {HP;STAT;HP} or less.,"Halves <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> at 50% max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> or less."
130,Has a 30% chance of {Disabling;MOVE;disable} any move that hits the Pokémon.,"Has a 30% chance of <a href=""/moves/disable"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Disabling</span></a> any move that hits the Pokémon."
131,Has a 30% chance of curing each adjacent ally of any {major status effect;STATUS;-} after each turn.,"Has a 30% chance of curing each adjacent ally of any <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a> after each turn."
132,Decreases all direct damage taken by friendly Pokémon to 0.75x.,Decreases all direct damage taken by friendly Pokémon to 0.75x.
133,Raises {Speed;STAT;SPEED} and lowers {Defense;STAT;DEFENSE} by one stage each upon being hit by a physical move.,"Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and lowers <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by one stage each upon being hit by a physical move."
134,Doubles the Pokémon's weight.,Doubles the Pokémon's weight.
135,Halves the Pokémon's weight.,Halves the Pokémon's weight.
136,Halves damage taken from full {HP;STAT;HP}.,"Halves damage taken from full <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
137,Increases {Attack;STAT;ATTACK} to 1.5x when {poisoned;STATUS;poison}.,"Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x when <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoned</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>."
