id,identifier,name,generation_id,type_id,power,pp,accuracy,priority,move_target_id,damage_category_id,contest_type_id,contest_effect_id,super_contest_effect_id,name_jp,name_jp_romanized,name_fr,name_ger,name_it,name_es,name_kr,name_kr_romanized,name_cn,name_cn_romanized
248,future-sight,Future Sight,2,14,120,10,100,0,1,2,4,24,17,みらいよち,Mirai Yochi,Prescience,Seher,Divinazione,Premonición,미래예지,Mirae Yeoji,預知未來 / 预知未来,Yùzhī Wèilái / Yuhjī Meihlòih
249,rock-smash,Rock Smash,2,2,40,15,100,0,1,1,5,29,18,いわくだき,Iwakudaki,Éclate-Roc,Zertrümmerer,Spaccaroccia,Golpe Roca,바위깨기,Bawi Kkaegi,碎岩,Suìyán / Seuingàahm
250,whirlpool,Whirlpool,2,11,35,15,85,0,1,2,2,24,21,うずしお,Uzushio,Siphon,Whirlpool,Mulinello,Torbellino,바다회오리,Bada Hoe'ori,潮旋,Cháoxuán / Chìuhsyùhn
251,beat-up,Beat Up,2,17,,10,100,0,1,1,4,14,7,ふくろだたき,Fukurodataki,Baston,Prügler,Picchiaduro,Paliza,집단구타,Jipdan Guta,圍攻 / 围攻,Wéigōng / Wàihgūng
252,fake-out,Fake Out,3,1,40,10,100,3,1,1,3,23,17,ねこだまし,Nekodamashi,Bluff,Mogelhieb,Bruciapelo,Sorpresa,속이다,Sok'ida,擊掌奇襲 / 击掌奇袭,Jīzhǎng Qíxí / Gīkjéung Kèihjaahp
253,uproar,Uproar,3,1,90,10,100,0,9,2,3,21,10,さわぐ,Sawagu,Brouhaha,Aufruhr,Baraonda,Alboroto,소란피기,Soranpigi,吵鬧 / 吵闹,Chǎonào / Cháaunaauh
254,stockpile,Stockpile,3,1,,20,,0,4,3,5,16,11,たくわえる,Takuwaeru,Stockage,Horter,Accumulo,Reserva,비축하기,Bichukhagi,蓄力,Xùlì / Chūklihk
255,spit-up,Spit Up,3,1,,10,100,0,1,2,5,1,18,はきだす,Hakidasu,Relâche,Entfessler,Sfoghenergia,Escupir,토해내기,Tohaenaegi,噴出 / 喷出,Pēnchū / Panchēut
256,swallow,Swallow,3,1,,10,,0,4,3,5,32,8,のみこむ,Nomikomu,Avale,Verzehrer,Intoenergia,Tragar,꿀꺽,Kkulkkeok,吞下,Tūnxià / Tānhah
257,heat-wave,Heat Wave,3,10,95,10,90,0,10,2,2,1,17,ねっぷう,Neppū,Canicule,Hitzewelle,Ondacalda,Onda Ígnea,열풍,Yeolpung,熱風 / 热风,Rèfēng / Yihtfūng
258,hail,Hail,3,15,,10,,0,13,3,2,5,13,あられ,Arare,Grêle,Hagelsturm,Grandine,Granizo,싸라기눈,Ssaragi Nun,冰雹,Bīngbáo / Bīngbohk
259,torment,Torment,3,17,,15,100,0,1,3,5,18,16,いちゃもん,Ichamon,Tourmente,Folterknecht,Attaccalite,Tormento,트집,Teujip,無理取鬧 / 无理取闹,Wúlǐqǔnào / Mòuhléihchéuinaauh
260,flatter,Flatter,3,17,,15,100,0,1,3,4,18,19,おだてる,Odateru,Flatterie,Schmeichler,Adulazione,Camelo,부추기기,Buchugigi,吹捧,Chuīpěng / Chēuipúng
261,will-o-wisp,Will-O-Wisp,3,10,,15,85,0,1,3,2,4,17,おにび,Onibi,Feu Follet,Irrlicht,Fuocofatuo,Fuego Fatuo,도깨비불,Dokkaebi Bul,鬼火,Guǐhuǒ / Gwáifó
262,memento,Memento,3,17,,10,100,0,1,3,5,7,9,おきみやげ,Okimiyage,Souvenir,Memento-Mori,Memento,Legado,추억의선물,Chueok-yi Seonmul,臨別禮物 / 临别礼物,Línbié Lǐwù / Làhmbiht Láihmaht
263,facade,Facade,3,1,70,20,100,0,1,1,3,28,15,からげんき,Karagenki,Façade,Fassade,Facciata,Imagen,객기,Gaekgi,硬撐 / 硬撑,Yìngchēng / Ngaahngchāang
264,focus-punch,Focus Punch,3,2,150,20,100,-3,1,1,5,31,6,きあいパンチ,Kiai Panchi,Mitra-Poing,Power-Punch,Centripugno,Puño Certero,힘껏펀치,Himkkeot Punch,真氣拳 / 真气拳,Zhēnqì Quán / Jānhei Kyùhn
265,smelling-salts,Smelling Salts,3,1,70,10,100,0,1,1,4,9,16,きつけ,Kitsuke,Stimulant,Riechsalz,Maniereforti,Estímulo,정신차리기,Jeongsin Charigi,清醒,Qīngxǐng / Chīngsíng
266,follow-me,Follow Me,3,1,,20,,2,4,3,3,24,14,このゆびとまれ,Kono Yubi Tomare,Par Ici,Spotlight,Sonoqui,Señuelo,날따름,Nalttareum,看我嘛,Kànwǒ Ma / Honngóh Ma
267,nature-power,Nature Power,3,1,,20,,0,16,3,2,11,14,しぜんのちから,Shizen no Chikara,Force Nature,Natur-Kraft,Naturforza,Adaptación,자연의힘,Jayeon-yi Him,自然之力,Zìrán-zhī Lì / Jihyìhn-jī Lihk
268,charge,Charge,3,13,,20,,0,4,3,4,12,11,じゅうでん,Jūden,Chargeur,Ladevorgang,Sottocarica,Carga,충전,Chungjeon,充電 / 充电,Chōngdiàn / Chūngdihn
269,taunt,Taunt,3,17,,20,100,0,1,3,4,18,16,ちょうはつ,Chōhatsu,Provoc,Verhöhner,Provocazione,Mofa,도발,Dobal,挑釁 / 挑衅,Tiǎoxìn / Tīuyahn
270,helping-hand,Helping Hand,3,1,,20,,5,5,3,4,18,20,てだすけ,Tedasuke,Coup d'Main,Rechte Hand,Altruismo,Refuerzo,도우미,Doumi,幫助 / 帮助,Bāngzhù / Bōngjoh
271,trick,Trick,3,14,,10,100,0,1,3,4,12,12,トリック,Torikku,Tour de Magie,Trickbetrug,Raggiro,Truco,트릭,Trick,戲法 / 戏法,Xìfǎ / Heifaat
272,role-play,Role Play,3,14,,10,,0,1,3,3,20,23,なりきり,Narikiri,Imitation,Rollenspiel,Giocodiruolo,Imitación,역할,Yeokhal,扮演,Bànyǎn / Baahnyín
273,wish,Wish,3,1,,10,,0,4,3,3,24,8,ねがいごと,Negaigoto,Vœu,Wunschtraum,Desiderio,Deseo,희망사항,Hyimang Sahang,祈願 / 祈愿,Qíyuàn / Kèihyuhn
274,assist,Assist,3,1,,20,,0,4,3,3,25,14,ねこのて,Neko no Te,Assistance,Zuschuss,Assistente,Ayuda,조수,Josu,借助,Jièzhù / Jejoh
275,ingrain,Ingrain,3,12,,20,,0,4,3,4,15,21,ねをはる,Ne o Haru,Racines,Verwurzler,Radicamento,Arraigo,뿌리박기,Ppuri Bakgi,扎根,Zhágēn / Jaatgān
276,superpower,Superpower,3,2,120,5,100,0,1,1,5,3,18,ばかぢから,Bakajikara,Surpuissance,Kraftkoloss,Troppoforte,Fuerza Bruta,엄청난힘,Eomcheongnan Him,蠻力 / 蛮力,Mánlì / Màahnlihk
277,magic-coat,Magic Coat,3,14,,15,,4,4,3,2,15,15,マジックコート,Majikku Kōto,Reflet Magik,Magiemantel,Magivelo,Capa Mágica,매직코트,Magic Coat,魔法反射,Mófǎ Fǎnshè / Mōfaat Fáanseh
278,recycle,Recycle,3,1,,10,,0,4,3,4,17,12,リサイクル,Risaikuru,Recyclage,Aufbereitung,Riciclo,Reciclaje,리사이클,Recycle,回收利用,Huíshōu Lìyòng / Wùihsāu Leihyuhng
279,revenge,Revenge,3,2,60,10,100,-4,1,1,5,31,15,リベンジ,Ribenji,Vendetta,Vergeltung,Vendetta,Desquite,리벤지,Revenge,報復 / 报复,Bàofù / Boufuhk
280,brick-break,Brick Break,3,2,75,15,100,0,1,1,1,4,5,かわらわり,Kawarawari,Casse-Brique,Durchbruch,Breccia,Demolición,깨트리다,Kkaeteurida,劈瓦,Pīwǎ / Pekngáh
281,yawn,Yawn,3,1,,10,,0,1,3,3,18,19,あくび,Akubi,Bâillement,Gähner,Sbadiglio,Bostezo,하품,Hapum,哈欠,Hāqian / Hāhim
282,knock-off,Knock Off,3,17,65,20,100,0,1,1,4,4,5,はたきおとす,Hataki Otosu,Sabotage,Abschlag,Privazione,Desarme,탁쳐서떨구기,Takchyeoseo Tteolgugi,拍落,Pāiluò / Paaklohk
283,endeavor,Endeavor,3,1,,5,100,0,1,1,5,28,15,がむしゃら,Gamushara,Effort,Notsituation,Rimonta,Esfuerzo,죽기살기,Jukgisalgi,蠻幹 / 蛮干,Mángàn / Màahngon
284,eruption,Eruption,3,10,150,5,100,0,10,2,2,26,18,ふんか,Funka,Éruption,Eruption,Eruzione,Estallido,분화,Bunhwa,噴火 / 喷火,Pēnhuǒ / Panfó
285,skill-swap,Skill Swap,3,14,,10,,0,1,3,4,20,12,スキルスワップ,Sukiru Suwappu,Échange,Fähigkeitstausch,Baratto,Intercambio,스킬스웹,Skill Swap,特性互換 / 特性互换,Tèxìng Hùhuàn / Dahksing Wuhwuhn
286,imprison,Imprison,3,14,,10,,0,4,3,4,33,20,ふういん,Fūin,Possessif,Begrenzer,Esclusiva,Sellar,봉인,Bong'in,封印,Fēngyìn / Fūngyan
287,refresh,Refresh,3,1,,20,,0,4,3,3,32,8,リフレッシュ,Rifuresshu,Régénération,Heilung,Rinfrescata,Alivio,리프레쉬,Refresh,煥然一新 / 焕然一新,Huànrányīxīn / Wuhnyìhnyātsān
288,grudge,Grudge,3,8,,5,,0,4,3,5,26,10,おんねん,Onnen,Rancune,Nachspiel,Rancore,Rabia,원념,Wonnyeom,怨念,Yuànniàn / Yunnihm
289,snatch,Snatch,3,17,,10,,4,4,3,4,14,12,よこどり,Yokodori,Saisie,Übernahme,Scippo,Robo,가로챔,Garochaem,搶奪 / 抢夺,Qiǎngduó / Chéungdyuht
290,secret-power,Secret Power,3,1,70,20,100,0,1,1,4,29,14,ひみつのちから,Himitsu no Chikara,Force Cachée,Geheimpower,Forzasegreta,Daño Secreto,비밀의힘,Bimil-yi Him,秘密之力,Mìmì-zhī Lì / Beimaht-jī Lihk
291,dive,Dive,3,11,80,10,100,0,1,1,2,16,6,ダイビング,Daibingu,Plongée,Taucher,Sub,Buceo,다이빙,Diving,潛水 / 潜水,Qiánshuǐ / Chìhmséui
292,arm-thrust,Arm Thrust,3,2,15,20,100,0,1,1,5,10,7,つっぱり,Tsuppari,Cogne,Armstoß,Sberletese,Empujón,손바닥치기,Sonbadak Chigi,猛推,Měngtuī / Máahngtēui
293,camouflage,Camouflage,3,1,,20,,0,4,3,4,2,13,ほごしょく,Hogoshoku,Camouflage,Tarnung,Camuffamento,Camuflaje,보호색,Bohosaek,保護色 / 保护色,Bǎohù Sè / Bóuwuh Sīk
294,tail-glow,Tail Glow,3,7,,20,,0,4,3,2,32,11,ほたるび,Hotarubi,Lumi-Queue,Schweifglanz,Codadiluce,Luminicola,반딧불,Banditbul,螢火 / 萤火,Yínghuǒ / Yìhngfó
295,luster-purge,Luster Purge,3,14,95,5,100,0,1,2,4,9,22,ラスターパージ,Rasutā Pāji,Lumi-Éclat,Scheinwerfer,Abbagliante,Resplandor,라스트버지,Luster Purge,潔淨光芒 / 洁净光芒,Jiéjìng Guāngmáng / Gitjihng Gwōngmòhng
296,mist-ball,Mist Ball,3,14,95,5,100,0,1,2,4,4,22,ミストボール,Misuto Bōru,Ball'Brume,Nebelball,Foschisfera,Bola Neblina,미스트볼,Mist Ball,薄霧球 / 薄雾球,Bówù Qiú / Bohkmouh Kàuh
297,feather-dance,Feather Dance,3,3,,15,100,0,1,3,2,28,19,フェザーダンス,Fezā Dansu,Danse Plumes,Daunenreigen,Danzadipiume,Danza Pluma,깃털댄스,Git'teol Dance,羽毛舞,Yǔmáo Wǔ / Yúhmòuh Móuh
298,teeter-dance,Teeter Dance,3,1,,20,100,0,11,3,3,6,14,フラフラダンス,Furafura Dansu,Danse Folle,Taumeltanz,Strampadanza,Danza Caos,흔들흔들댄스,Heundeulheundeul Dance,搖晃舞 / 摇晃舞,Yáohuàng Wǔ / Yìuhfóng Móuh
299,blaze-kick,Blaze Kick,3,10,85,10,90,0,1,1,2,1,17,ブレイズキック,Bureizu Kikku,Pied Brûleur,Feuerfeger,Calciardente,Patada Ígnea,브레이즈킥,Blaze Kick,火焰踢,Huǒyàn Tī / Fóyihm Tek
300,mud-sport,Mud Sport,3,5,,15,,0,13,3,3,1,13,どろあそび,Doro Asobi,Lance-Boue,Lehmsuhler,Fangata,Chapoteo Lodo,흙놀이,Heulk Nol-i,玩泥巴,Wán Níbā / Wáan Nàihbā
301,ice-ball,Ice Ball,3,15,30,20,90,0,1,1,2,24,7,アイスボール,Aisu Bōru,Ball'Glace,Frostbeule,Palla Gelo,Bola Hielo,아이스볼,Ice Ball,冰球,Bīngqiú / Bīngkàuh
302,needle-arm,Needle Arm,3,12,60,15,100,0,1,1,4,4,5,ニードルアーム,Nīdoru Āmu,Poing Dard,Nietenranke,Pugnospine,Brazo Pincho,바늘팔,Bineul Pal,尖刺臂,Jiāncì Bì / Jīmchi Bei
303,slack-off,Slack Off,3,1,,5,,0,4,3,3,26,8,なまける,Namakeru,Paresse,Tagedieb,Pigro,Relajo,태만함,Taemanham,偷懶 / 偷懒,Tōulǎn / Tāuláahn
304,hyper-voice,Hyper Voice,3,1,90,10,100,0,10,2,1,5,5,ハイパーボイス,Haipā Boisu,Mégaphone,Schallwelle,Granvoce,Vozarrón,하이퍼보이스,Hyper Voice,巨聲 / 巨声,Jùshēng / Geuihsīng
305,poison-fang,Poison Fang,3,4,50,15,100,0,1,1,4,33,4,どくどくのキバ,Dokudoku no Kiba,Crochet Venin,Giftzahn,Velenodenti,Colmillo Veneno,독엄니,Dok Eomni,劇毒牙 / 剧毒牙,Jùdú Yá / Kehkduhk Ngàh
306,crush-claw,Crush Claw,3,1,75,10,95,0,1,1,1,4,5,ブレイククロー,Bureiku Kurō,Éclate Griffe,Zermalmklaue,Tritartigli,Garra Brutal,브레이크크루,Break Claw,撕裂爪,Sīliè Zhuǎ / Sīliht Jáau
307,blast-burn,Blast Burn,3,10,150,5,90,0,1,2,2,6,22,ブラストバーン,Burasuto Bān,Rafale Feu,Lohekanonade,Incendio,Anillo Ígneo,블러스트번,Blast Burn,爆炸烈焰,Bàozhà Lièyàn / Baauja Lihtyihm
308,hydro-cannon,Hydro Cannon,3,11,150,5,90,0,1,2,2,6,22,ハイドロカノン,Haidoro Kyanon,Hydroblast,Aquahaubitze,Idrocannone,Hidrocañón,하이드로캐논,Hydrocannon,加農水炮 / 加农水炮,Jiānóng Shuǐpào / Gānùhng Séuipaau
309,meteor-mash,Meteor Mash,3,9,90,10,90,0,1,1,1,12,18,コメットパンチ,Kometto Panchi,Poing Météore,Sternenhieb,Meteorpugno,Puño Meteoro,코멧펀치,Comet Punch,彗星拳,Huìxīng Quán / Waihsīng Kyùhn
310,astonish,Astonish,3,8,30,15,100,0,1,1,4,9,5,おどろかす,Odorokasu,Étonnement,Erstauner,Sgomento,Impresionar,놀래키기,Nollaekigi,驚嚇 / 惊吓,Jīngxià / Gēnghaak
311,weather-ball,Weather Ball,3,1,50,10,100,0,1,2,4,1,4,ウェザーボール,Uezā Bōru,Ball'Météo,Meteorologe,Palla Clima,Meteorobola,웨더볼,Weather Ball,氣象球 / 气象球,Qìxiàng Qiú / Heijeuhng Kàuh
312,aromatherapy,Aromatherapy,3,12,,5,,0,7,3,4,28,8,アロマセラピー,Aromaserapī,Aromathérapie,Aromakur,Aromaterapia,Aromaterapia,아로마테라피,Aromatherapy,芳香治療 / 芳香治疗,Fāngxiāng Zhìliáo / Fōnghēung Jihlìuh
313,fake-tears,Fake Tears,3,17,,20,100,0,1,3,4,28,19,うそなき,Uso Naki,Croco Larme,Trugträne,Falselacrime,Llanto Falso,거짓울음,Geojit Ul'eum,假哭,Jiǎkū / Gáhūk
314,air-cutter,Air Cutter,3,3,60,25,95,0,10,2,1,23,5,エアカッター,Ea Kattā,Tranch'Air,Windschnitt,Aerasoio,Aire Afilado,에어컷터,Air Cutter,空氣利刃 / 空气利刃,Kōngqì Lìrèn / Hūnghei Leihyahn
315,overheat,Overheat,3,10,130,5,90,0,1,2,2,3,22,オーバーヒート,Ōbāhīto,Surchauffe,Hitzekoller,Vampata,Sofoco,오버히트,Overheat,過熱 / 过热,Guòrè / Gwoyiht
316,odor-sleuth,Odor Sleuth,3,1,,40,,0,1,3,4,33,20,かぎわける,Kagiwakeru,Flair,Schnüffler,Segugio,Rastreo,냄새구별,Naemsae Gubyeol,氣味偵測 / 气味侦测,Qìwèi Zhēncè / Heimeih Jīngchāk
317,rock-tomb,Rock Tomb,3,6,60,15,95,0,1,1,4,24,2,がんせきふうじ,Ganseki Fūji,Tomberoche,Felsgrab,Rocciotomba,Tumba Rocas,암석봉인,Amseok Bong'in,岩石封鎖 / 岩石封锁,Yánshí Fēngsuǒ / Ngàahmsehk Fūngsó
318,silver-wind,Silver Wind,3,7,60,5,100,0,1,2,2,32,4,ぎんいろのかぜ,Gin'iro no Kaze,Vent Argenté,Silberhauch,Ventargenteo,Viento Plata,은빛바람,Eunbit Baram,銀色旋風 / 银色旋风,Yínsè Xuànfēng / Ngàhnsīk Syùhnfūng
319,metal-sound,Metal Sound,3,9,,40,85,0,1,3,4,5,10,きんぞくおん,Kinzoku On,Strido-Son,Metallsound,Ferrostrido,Eco Metálico,금속음,Geumsok Eum,金屬音 / 金属音,Jīnshǔ Yīn / Gāmsuhk Yām
320,grass-whistle,Grass Whistle,3,12,,15,55,0,1,3,4,5,19,くさぶえ,Kusabue,Siffl'Herbe,Grasflöte,Meloderba,Silbato,풀피리,Pul Piri,草笛 / 草笛,Cǎodí / Chóudehk
321,tickle,Tickle,3,1,,20,100,0,1,3,3,33,19,くすぐる,Kusuguru,Chatouille,Spaßkanone,Solletico,Cosquillas,간지르기,Ganjireugi,撓癢 / 挠痒,Náoyǎng / Nàauhyéuhng
322,cosmic-power,Cosmic Power,3,14,,20,,0,4,3,1,32,11,コスモパワー,Kosumo Pawā,Force Cosmique,Kosmik-Kraft,Cosmoforza,Masa Cósmica,코스믹파워,Cosmic Power,宇宙力量,Yǔzhòu Lìliàng / Yúhjauh Lihkleuhng
323,water-spout,Water Spout,3,11,150,5,100,0,10,2,2,26,22,しおふき,Shiofuki,Giclédo,Fontränen,Zampillo,Salpicar,해수스파우팅,Haesu Spouting,噴水 / 喷水,Pēnshuǐ / Panséui
324,signal-beam,Signal Beam,3,7,75,15,100,0,1,2,2,21,4,シグナルビーム,Shigunaru Bīmu,Rayon Signal,Ampelleuchte,Segnoraggio,Rayo Señal,시그널빔,Signal Beam,信號光束 / 信号光束,Xìnhào Guāngshù / Seunhouh Gwōngchūk
325,shadow-punch,Shadow Punch,3,8,60,20,,0,1,1,4,27,17,シャドーパンチ,Shadō Panchi,Poing Ombre,Finsterfaust,Pugnodombra,Puño Sombra,섀도펀치,Shadow Punch,暗影拳,Ànyǐng Quán / Amyíng Kyùhn
326,extrasensory,Extrasensory,3,14,80,20,100,0,1,2,1,4,17,じんつうりき,Jintsūriki,Extrasenseur,Sondersensor,Extrasenso,Paranormal,신통력,Sintongryeok,神通力,Shéntōnglì / Sàhntūnglihk
327,sky-uppercut,Sky Uppercut,3,2,85,15,90,0,1,1,1,23,17,スカイアッパー,Sukai Appā,Stratopercut,Himmelhieb,Stramontante,Gancho Alto,스카이업퍼,Sky Upper,衝天拳 / 冲天拳,Chōngtiān Quán / Chūngtīn Kyùhn
328,sand-tomb,Sand Tomb,3,5,35,15,85,0,1,1,4,24,21,すなじごく,Suna Jigoku,Tourbi-Sable,Sandgrab,Sabbiotomba,Bucle Arena,모래지옥,Morae Jiok,流沙地獄 / 流沙地狱,Liúshā Dìyù / Làuhsā Deihyuhk
329,sheer-cold,Sheer Cold,3,15,,5,30,0,1,2,2,14,9,ぜったいれいど,Zettai Reido,Glaciation,Eiseskälte,Purogelo,Frío Polar,절대영도,Jeoldae Yeongdo,絕對零度 / 绝对零度,Juéduì Língdù / Jyuhtdeui Lìhngdouh
330,muddy-water,Muddy Water,3,11,90,10,85,0,10,2,5,10,18,だくりゅう,Dakuryū,Ocroupi,Lehmbrühe,Fanghiglia,Agua Lodosa,탁류,Taklyu,濁流 / 浊流,Zhuóliú / Juhklàuh
331,bullet-seed,Bullet Seed,3,12,25,30,100,0,1,1,1,14,7,タネマシンガン,Tane Mashin Gan,Balle Graine,Kugelsaat,Semitraglia,Semilladora,기관총,Gigwanchong,種子機關槍 / 种子机关枪,Zhǒngzǐ Jīguānqiāng / Júngjí Gēigwāanchēung
332,aerial-ace,Aerial Ace,3,3,60,20,,0,2,1,1,27,17,つばめがえし,Tsubame Gaeshi,Aéropique,Aero-Ass,Aeroassalto,Golpe Aéreo,제비반환,Jebi Banhwan,燕返,Yànfǎn / Yinfáan
333,icicle-spear,Icicle Spear,3,15,25,30,100,0,1,1,2,23,7,つららばり,Tsurara Bari,Stalagtite,Eisspeer,Gelolancia,Carámbano,고드름침,Godoreum Chim,冰錐 / 冰锥,Bīngzhuī / Bīngjēui
334,iron-defense,Iron Defense,3,9,,15,,0,4,3,5,15,13,てっぺき,Teppeki,Mur de Fer,Eisenabwehr,Ferroscudo,Defensa Férrea,철벽,Cheolbyeok,鐵壁 / 铁壁,Tiěbì / Titbīk
335,block,Block,3,1,,5,,0,1,3,3,18,13,とおせんぼう,Tōsenbō,Barrage,Rückentzug,Blocco,Bloqueo,블록,Block,擋路 / 挡路,Dǎnglù / Dónglouh
336,howl,Howl,3,1,,40,,0,1,3,1,32,11,とおぼえ,Tōboe,Grondement,Jauler,Gridodilotta,Aullido,멀리짖음,Meolli Jit'eum,長嚎 / 长嚎,Chángháo / Chèuhnghòuh
337,dragon-claw,Dragon Claw,3,16,80,15,100,0,1,1,1,23,17,ドラゴンクロー,Doragon Kurō,Draco-Griffe,Drachenklaue,Dragartigli,Garra Dragón,드래곤크루,Dragon Claw,龍爪 / 龙爪,Lóngzhuǎ / Lùhngjáau
338,frenzy-plant,Frenzy Plant,3,12,150,5,90,0,1,2,1,6,22,ハードプラント,Hādo Puranto,Végé-Attaque,Flora-Statue,Radicalbero,Planta Feroz,하드플랜트,Hard Plant,瘋狂植物 / 疯狂植物,Fēngkuáng Zhíwù / Fūngkòhng Jihkmaht
339,bulk-up,Bulk Up,3,2,,20,,0,4,3,2,32,11,ビルドアップ,Birudo Appu,Gonflette,Protzer,Granfisico,Corpulencia,벌크업,Build-Up,健美,Jiànměi / Gihnméih
340,bounce,Bounce,3,3,85,5,85,0,2,1,3,15,6,とびはねる,Tobihaneru,Rebond,Sprungfeder,Rimbalzo,Bote,뛰어오르다,Ttwieooreuda,彈跳 / 弹跳,Tántiào / Daahntiu
341,mud-shot,Mud Shot,3,5,55,15,95,0,1,2,5,5,2,マッドショット,Maddo Shotto,Tir de Boue,Lehmschuss,Colpodifango,Disparo Lodo,머드숏,Mud Shot,泥巴射擊 / 泥巴射击,Níbā Shèjí / Nàihbā Sehgīk
342,poison-tail,Poison Tail,3,4,50,25,100,0,1,1,4,33,4,ポイズンテール,Poizun Tēru,Queue-Poison,Giftschweif,Velenocoda,Cola Veneno,포이즌테일,Poison Tail,毒尾,Dúyǐ/Dúwěi / Duhkméih
343,covet,Covet,3,1,60,25,100,0,1,1,3,20,12,ほしがる,Hoshigaru,Implore,Bezirzer,Supplica,Antojo,탐내다,Tamnaeda,渴望,Kěwàng / Hotmohng
344,volt-tackle,Volt Tackle,3,13,120,15,100,0,1,1,1,3,22,ボルテッカー,Borutekkā,Électacle,Volttackle,Locomovolt,Placaje Eléc,볼트태클,Volt Tackle,伏特攻擊 / 伏特攻击,Fútè Gōngjí / Fuhkdahk Gūnggīk
345,magical-leaf,Magical Leaf,3,12,60,20,,0,1,2,2,27,17,マジカルリーフ,Majikaru Rīfu,Feuille Magik,Zauberblatt,Fogliamagica,Hoja Mágica,메지컬리프,Magical Leaf,魔法葉 / 魔法叶,Mófǎ Yè / Mōfaat Yihp
346,water-sport,Water Sport,3,11,,15,,0,13,3,3,1,13,みずあそび,Mizu Asobi,Tourniquet,Nassmacher,Docciascudo,Hidrochorro,물놀이,Mul Nol-i,玩水,Wánshuǐ / Wáanséui
347,calm-mind,Calm Mind,3,14,,20,,0,4,3,4,16,11,めいそう,Meisō,Plénitude,Gedankengut,Calmamente,Paz Mental,명상,Myeongsong,冥想,Míngxiǎng / Míhngséung
348,leaf-blade,Leaf Blade,3,12,90,15,100,0,1,1,1,2,17,リーフブレード,Rīfu Bureido,Lame Feuille,Laubklinge,Fendifoglia,Hoja Aguda,리프블레이드,Leaf Blade,葉刃 / 叶刃,Yèrèn / Yihpyahn
349,dragon-dance,Dragon Dance,3,16,,20,,0,4,3,1,32,11,りゅうのまい,Ryū no Mai,Danse Draco,Drachentanz,Dragodanza,Danza Dragón,용의춤,Yong-yi Chum,龍之舞 / 龙之舞,Lóng-zhī Wǔ / Lùhng-jī Móuh
350,rock-blast,Rock Blast,3,6,25,10,90,0,1,1,5,12,7,ロックブラスト,Rokku Burasuto,Boule Roc,Felswurf,Cadutamassi,Pedrada,락블레스트,Rock Blast,岩石爆擊 / 岩石爆击,Yánshí Bàojī / Ngàahmsehk Baaugīk
351,shock-wave,Shock Wave,3,13,60,20,,0,1,2,1,27,17,でんげきは,Dengekiha,Onde de Choc,Schockwelle,Ondashock,Onda Voltio,전격파,Jeongyeokpa,電擊波 / 电击波,Diànjí Bō / Dihngīk Bō
352,water-pulse,Water Pulse,3,11,60,20,100,0,2,2,2,21,17,みずのはどう,Mizu no Hadō,Vibraqua,Aquawelle,Idropulsar,Hidropulso,물의파동,Mul-ui Padong,水之波動 / 水之波动,Shuǐ-zhī Bōdòng / Séui-jī Bōduhng
353,doom-desire,Doom Desire,3,9,140,5,100,0,1,2,1,24,17,はめつのねがい,Hametsu no Negai,Vœu Destructeur,Kismetwunsch,Obbliderio,Deseo Oculto,파멸의소원,Pamyeol-ui Soweon,破滅之願 / 破灭之愿,Pòmiè-zhī Yuàn / Pomiht-jī Yuhn
354,psycho-boost,Psycho Boost,3,14,140,5,90,0,1,2,4,3,22,サイコブースト,Saiko Būsuto,Psycho-Boost,Psyschub,Psicoslancio,Psicoataque,사이코부스트,Psycho Boost,精神突進 / 精神突进,Jīngshén Tūjìn / Jīngsàhn Dahtjeun
355,roost,Roost,4,3,,5,,0,4,3,1,,8,はねやすめ,Hane Yasume,Atterrissage,Ruheort,Trespolo,Respiro,날개쉬기,Nalgae Swigi,羽棲 / 羽栖,Yǔqī / Yúhchāi
356,gravity,Gravity,4,14,,5,,0,13,3,2,,13,じゅうりょく,Jūryoku,Gravité,Erdanziehung,Gravità,Gravedad,중력,Jungryeok,重力,Zhònglì / Chúhnglihk
357,miracle-eye,Miracle Eye,4,14,,40,,0,1,3,3,,20,ミラクルアイ,Mirakuru Ai,Œil Miracle,Wunderauge,Miracolvista,Gran Ojo,미라클아이,Miracle Eye,奇跡之眼 / 奇迹之眼,Qíjī-zhī Yǎn / Kèihjīk-jī Ngáahn
358,wake-up-slap,Wake-Up Slap,4,2,70,10,100,0,1,1,4,,16,めざましビンタ,Mezamashi Binta,Réveil Forcé,Weckruf,Svegliopacca,Espabila,잠깨움뺨치기,Jamkkae'um Ppyamchigi,喚醒巴掌 / 唤醒巴掌,Huànxǐng Bāzhang / Wuhnsíng Bājéung
359,hammer-arm,Hammer Arm,4,2,100,10,90,0,1,1,1,,2,アームハンマー,Āmu Hanmā,Marto-Poing,Hammerarm,Martelpugno,Machada,암해머,Arm Hammer,臂錘 / 臂锤,Bìchuí / Beichèuih
360,gyro-ball,Gyro Ball,4,9,,5,100,0,1,1,2,,15,ジャイロボール,Jairo Bōru,Gyroballe,Gyroball,Vortexpalla,Giro Bola,자이로볼,Gyroball,陀螺球,Tuóluó Qiú / Tòhlòh Kàuh
