identifier,name,default_item_sprite,default_item_sprite_small,item_category_identifier,introduced_in_generation_id,is_consumable,is_holdable,is_field_usable,description,notes,is_battle_usable
fire-stone,Fire Stone,https://cdn.pokedb.org/d9b8cf42637b5907cb87a1bfe4b0794e8daa33d0d49314b64dbf18ec5f2ce2dc,https://cdn.pokedb.org/d9b8cf42637b5907cb87a1bfe4b0794e8daa33d0d49314b64dbf18ec5f2ce2dcw20h20,evolution-stones,1,true,false,true,A peculiar stone that can make certain species of Pokémon evolve.,,false
fire-tera-shard,Fire Tera Shard,https://cdn.pokedb.org/c6f26ec9e3255a3afada47c20e46b4dfe1af72eae5efc80374ac5ff67a2805eb,https://cdn.pokedb.org/c6f26ec9e3255a3afada47c20e46b4dfe1af72eae5efc80374ac5ff67a2805ebw20h20,misc-items,9,true,false,true,A Tera Shard corresponding to the Fire type that can be used to change a Pokémon’s Tera Type to Fire.,Requires 50 shards to change a Pokémon’s Tera Type at the Treasure Eatery in Medali; cannot be used on Ogerpon or Terapagos.,false
firium-z,Firium Z,https://cdn.pokedb.org/22bc35203e833b3d6ba283f66baffd6f6e4b53ac7b0ebec6cccf7db9986a92ac,https://cdn.pokedb.org/22bc35203e833b3d6ba283f66baffd6f6e4b53ac7b0ebec6cccf7db9986a92acw20h20,z-crystals,7,false,true,false,A type-specific Z-Crystal that upgrades Fire-type moves into Fire-type Z-Moves.,,true
fishing-rod,Fishing Rod,https://cdn.pokedb.org/5308f320ac2c1baeb86cece095a0f75040da5413c21055af7c25b2530384f41e,https://cdn.pokedb.org/5308f320ac2c1baeb86cece095a0f75040da5413c21055af7c25b2530384f41ew20h20,key-items,7,false,false,true,A fishing rod that allows the player to fish for Pokémon in bodies of water.,,false
fist-plate,Fist Plate,https://cdn.pokedb.org/1c784d99f2a87a2b9c38114400204dde4cdaf4ac9a9cbafd18fde6a7337c2910,https://cdn.pokedb.org/1c784d99f2a87a2b9c38114400204dde4cdaf4ac9a9cbafd18fde6a7337c2910w20h20,held-items,4,false,true,true,A stone tablet that boosts the power of Fighting-type moves and changes Arceus to the Fighting type.,Key Item in Pokémon Legends: Arceus.,true
flabebe-pollen,Flabébé Pollen,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,"A material dropped by Flabébé, Floette, or Florges that can be used to craft TMs at the TM Machine.",,false
flame-mail,Flame Mail,https://cdn.pokedb.org/773f2cf0c183f547ee728795160ba559f19031ffbc1b2bd080ce36856b70bd78,https://cdn.pokedb.org/773f2cf0c183f547ee728795160ba559f19031ffbc1b2bd080ce36856b70bd78w20h20,mail,4,false,true,false,Stationery featuring a print of flames in blazing red that can be held by a Pokémon to deliver a written message.,Exclusive to Generation IV games.,false
flame-orb,Flame Orb,https://cdn.pokedb.org/c836511e5cb96bcdaca09e44b9c4ce7b10084da1c29b296ea97ed4739df25d00,https://cdn.pokedb.org/c836511e5cb96bcdaca09e44b9c4ce7b10084da1c29b296ea97ed4739df25d00w20h20,held-items,4,false,true,false,A bizarre orb that burns the Pokémon holding it.,,false
flame-plate,Flame Plate,https://cdn.pokedb.org/8233e9083ac0fc360a3993a522ae3fc2c1c7f523d2dfbf92611be4c5b26788a0,https://cdn.pokedb.org/8233e9083ac0fc360a3993a522ae3fc2c1c7f523d2dfbf92611be4c5b26788a0w20h20,held-items,4,false,true,true,A stone tablet associated with Arceus that boosts the power of Fire-type moves and changes Arceus to the Fire type.,Key Item in Pokémon Legends: Arceus,true
flamigo-down,Flamigo Down,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Flamigo that can be used to craft TMs at the TM Machine.,,false
fletchling-feather,Fletchling Feather,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by the Fletchling evolutionary line that can be used to craft TMs at the TM Machine.,,false
flittle-down,Flittle Down,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Flittle or Espathra that can be used to craft TMs at the TM Machine.,,false
float-stone,Float Stone,https://cdn.pokedb.org/b39d6284489b9c6740976370e0701b0a97f550fd74bbdfd9c07914a72610a216,https://cdn.pokedb.org/b39d6284489b9c6740976370e0701b0a97f550fd74bbdfd9c07914a72610a216w20h20,held-items,5,false,true,false,A very light stone that reduces the weight of the Pokémon holding it.,,false
floettite,Floettite,,,mega-stones,9,false,true,false,A mysterious Mega Stone that allows a special Floette to Mega Evolve during battle.,,true
flower-mail,Flower Mail,,,mail,2,false,true,false,A flower-print Mail that can be held by a Pokémon to store a written message.,Exclusive to Generation II games.,false
flower-pattern-cup,Flower Pattern Cup,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,picnic-items,9,false,false,false,A decorative cup used at picnics with Pokémon.,,false
flower-sweet,Flower Sweet,https://cdn.pokedb.org/12e03d2c168236924db1ee1656db3e4fe70bd443104daab5550343ba1fab262a,https://cdn.pokedb.org/12e03d2c168236924db1ee1656db3e4fe70bd443104daab5550343ba1fab262aw20h20,evolution-items,8,true,true,false,A flower-shaped sweet that can be held by Milcery to trigger its evolution.,,false
fluffy-tail,Fluffy Tail,https://cdn.pokedb.org/df04e9694f835aea78bca7903b706f173889b91fba2b9d96e8129c9f4697a125,https://cdn.pokedb.org/df04e9694f835aea78bca7903b706f173889b91fba2b9d96e8129c9f4697a125w20h20,battle-items,3,true,false,false,An item that guarantees escape from any battle with a wild Pokémon.,,true
flying-gem,Flying Gem,https://cdn.pokedb.org/461bc5dcd31a50cc4a58752ab2ba71c140739aad33e7d4cb86d96d6f2338b757,https://cdn.pokedb.org/461bc5dcd31a50cc4a58752ab2ba71c140739aad33e7d4cb86d96d6f2338b757w20h20,held-items,5,true,true,false,A gem imbued with the essence of air that boosts the power of a Flying-type move once before being consumed.,Unobtainable as a held item from Generation VI onward.,true
flying-memory,Flying Memory,https://cdn.pokedb.org/7308888c1457baf42c9b976c68117d6a13e9590476dc9b88b4ff292abeb9dc15,https://cdn.pokedb.org/7308888c1457baf42c9b976c68117d6a13e9590476dc9b88b4ff292abeb9dc15w20h20,held-items,7,false,true,false,A memory disc containing Flying-type data that changes Silvally to the Flying type and makes Multi-Attack Flying-type.,Associated exclusively with Silvally and the RKS System.,false
flying-tera-shard,Flying Tera Shard,https://cdn.pokedb.org/9c20a2a5a6e7363c80fc00c6162404e1f04bb8ed3a54522e507b158dc2b92d4f,https://cdn.pokedb.org/9c20a2a5a6e7363c80fc00c6162404e1f04bb8ed3a54522e507b158dc2b92d4fw20h20,misc-items,9,true,false,true,A shard that can be collected and used to change a Pokémon’s Tera Type to Flying.,Corresponds to the Flying type; 50 are required to change Tera Type.,false
flyinium-z,Flyinium Z,https://cdn.pokedb.org/553c0845aa5c86abf2425e9f8eccad03b8c7a218b84b50424b685110175ba60d,https://cdn.pokedb.org/553c0845aa5c86abf2425e9f8eccad03b8c7a218b84b50424b685110175ba60dw20h20,z-crystals,7,false,true,false,A type-specific Z-Crystal that upgrades Flying-type moves into powerful Z-Moves.,,true
focus-band,Focus Band,https://cdn.pokedb.org/e04068b8546c752432924f0a5cfb6e3dbb75bda42c1d26834b58f599712c4e17,https://cdn.pokedb.org/e04068b8546c752432924f0a5cfb6e3dbb75bda42c1d26834b58f599712c4e17w20h20,held-items,2,false,true,false,A held item that may allow the holder to survive a would-be knockout with 1 HP.,,true
focus-sash,Focus Sash,https://cdn.pokedb.org/8121cdf66656f60526565f6b2a6aef72a555ee91eb91ade53cdd5cd743a8dd4e,https://cdn.pokedb.org/8121cdf66656f60526565f6b2a6aef72a555ee91eb91ade53cdd5cd743a8dd4ew20h20,held-items,4,true,true,false,A held item that allows the holder to survive a potentially fatal hit with 1 HP when at full HP.,,true
fomantis-leaf,Fomantis Leaf,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Fomantis or Lurantis that can be used to craft TMs at the TM Machine.,,false
foongus-spores,Foongus Spores,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Foongus or Amoonguss that can be used to craft TMs at the TM Machine.,,false
forage-bag,Forage Bag,https://cdn.pokedb.org/f65f712e0c3147c2c69d986b63e65064099a92bd18c84a3342b9098944cba637,https://cdn.pokedb.org/f65f712e0c3147c2c69d986b63e65064099a92bd18c84a3342b9098944cba637w20h20,key-items,7,false,false,false,A bag used to store ingredients gathered during Mallow's trial in Lush Jungle.,,false
forest-balm,Forest Balm,,,key-items,8,true,false,true,A mysterious balm that gives off a soothing scent and is used to calm the frenzy of Kleavor.,Usable only during the Kleavor frenzy battle and post-game rematches; removed from the satchel after the fight.,true
fossilized-bird,Fossilized Bird,https://cdn.pokedb.org/99be5b3c69cae996a3f12bd6b01f1af6f13bfd51d94f2038f49725121c06fe77,https://cdn.pokedb.org/99be5b3c69cae996a3f12bd6b01f1af6f13bfd51d94f2038f49725121c06fe77w20h20,fossils,8,false,true,false,The fossil of an ancient Pokémon that once soared through the sky.,Counterpart of the Fossilized Fish.,false
fossilized-dino,Fossilized Dino,https://cdn.pokedb.org/448dfab89a66139e746a01e34e4d7c92ce467e9607fc9558c356c2f91f8d8184,https://cdn.pokedb.org/448dfab89a66139e746a01e34e4d7c92ce467e9607fc9558c356c2f91f8d8184w20h20,valueable-items,8,false,false,false,"A fossil of an ancient Pokémon that once lived in the sea, whose appearance is unknown.",Counterpart of the Fossilized Drake.,false
fossilized-drake,Fossilized Drake,https://cdn.pokedb.org/874b1776ae2cd130acb747184c485f13f4d0cba71fad3b527846c935730b7ead,https://cdn.pokedb.org/874b1776ae2cd130acb747184c485f13f4d0cba71fad3b527846c935730b7eadw20h20,fossils,8,false,false,true,"A fossil of an ancient Pokémon once thought to be part of a dragon-like body, used to revive certain fossil Pokémon.",Counterpart of the Fossilized Dino.,false
fossilized-fish,Fossilized Fish,https://cdn.pokedb.org/16589b0ce940a6c9c9bf77ea0df834c332c04846000458924bb3a232a8320229,https://cdn.pokedb.org/16589b0ce940a6c9c9bf77ea0df834c332c04846000458924bb3a232a8320229w20h20,fossils,8,false,false,true,A fossil of an ancient Pokémon that once lived in the sea. It can be combined with other fossils to restore certain Pokémon.,Counterpart of the Fossilized Bird.,false
fresh-cream,Fresh Cream,https://cdn.pokedb.org/187c7e8a4a09550da7f2bf8f5eb23013a18a90a87301d4b72c04c076dfeec793,https://cdn.pokedb.org/187c7e8a4a09550da7f2bf8f5eb23013a18a90a87301d4b72c04c076dfeec793w20h20,ingredients,8,true,true,true,An ingredient used in cooking curry that adds sweetness when combined with spicy dishes.,,false
fresh-start-mochi,Fresh-Start Mochi,https://cdn.pokedb.org/8c608813de5d0b792cd8a98e11a192a0ed26648335d705171f72b494fa84de16,https://cdn.pokedb.org/8c608813de5d0b792cd8a98e11a192a0ed26648335d705171f72b494fa84de16w20h20,medicine,9,true,false,true,A type of mochi that completely resets all of a Pokémon’s base points.,,false
fresh-water,Fresh Water,https://cdn.pokedb.org/205998a48c30f912c5468b4b958d6b94885f192dff77a0649ee1c4b9bdc05417,https://cdn.pokedb.org/205998a48c30f912c5468b4b958d6b94885f192dff77a0649ee1c4b9bdc05417w20h20,medicine,1,true,true,true,A drink with high mineral content that restores a Pokémon's HP.,,true
fried-fillet,Fried Fillet,https://cdn.pokedb.org/3d8b61cf0f305125dd3b7b19fc1398f4871e1ab20ac225c79866df937fc424e3,https://cdn.pokedb.org/3d8b61cf0f305125dd3b7b19fc1398f4871e1ab20ac225c79866df937fc424e3w20h20,ingredients,9,true,false,true,A very salty and bitter ingredient used when making sandwiches.,,false
fried-food,Fried Food,https://cdn.pokedb.org/2214caf0286acc8828ec537e5f9be72fab0bc1e586174abcb1ea0374aee4ba53,https://cdn.pokedb.org/2214caf0286acc8828ec537e5f9be72fab0bc1e586174abcb1ea0374aee4ba53w20h20,ingredients,8,true,false,true,An ingredient that can be used for cooking curry at camp.,,false
friend-ball,Friend Ball,https://cdn.pokedb.org/eecdb68a77197b07df55e9b03c4b1e6f6c21596b736ed95da09eafb0f258d398,https://cdn.pokedb.org/eecdb68a77197b07df55e9b03c4b1e6f6c21596b736ed95da09eafb0f258d398w20h20,poke-balls,2,true,true,false,A type of Poké Ball that makes a Pokémon caught with it more friendly toward the player.,Also referred to as the Friendship Ball; made from Green Apricorns.,true
frigibax-scales,Frigibax Scales,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by the Frigibax evolutionary line that can be used to craft TMs at the TM Machine.,,false
froslassite,Froslassite,,,mega-stones,9,false,true,false,A Mega Stone that allows Froslass to Mega Evolve into Mega Froslass during battle.,,true
fruit-bunch,Fruit Bunch,https://cdn.pokedb.org/fa92caedcb0e612ef44f85d94384e0206227e62cadcecb97970651b21b5cd4db,https://cdn.pokedb.org/fa92caedcb0e612ef44f85d94384e0206227e62cadcecb97970651b21b5cd4dbw20h20,ingredients,8,true,true,true,An ingredient used for cooking curry that gives off a strong tropical feel.,,true
full-heal,Full Heal,https://cdn.pokedb.org/242bc220c20a9956512fe97f8ad2d391edd68e21e0da1e35ded7d5595601d5a4,https://cdn.pokedb.org/242bc220c20a9956512fe97f8ad2d391edd68e21e0da1e35ded7d5595601d5a4w20h20,medicine,1,true,true,true,A spray-type medicine that cures a Pokémon of all non-volatile status conditions and confusion.,Depicted as a syringe in early generations; changed to spray-type medicine from FireRed and LeafGreen onward.,true
full-incense,Full Incense,https://cdn.pokedb.org/14bcd0cd931e5cfcddcca97c4119721435efde3b82c9a538054c0497807b5bc4,https://cdn.pokedb.org/14bcd0cd931e5cfcddcca97c4119721435efde3b82c9a538054c0497807b5bc4w20h20,held-items,4,false,true,false,An exotic-smelling incense that makes the holder move last in battle and allows Snorlax to produce Munchlax Eggs.,Battle effect is identical to Lagging Tail.,true
full-restore,Full Restore,https://cdn.pokedb.org/01cd164f87f5767b2c39dd7c1c79bf59eb24ee985df4b8668b6c984b5760b1a8,https://cdn.pokedb.org/01cd164f87f5767b2c39dd7c1c79bf59eb24ee985df4b8668b6c984b5760b1a8w20h20,medicine,1,true,false,true,A medicine that fully restores a Pokémon's HP and cures all non-volatile status conditions and confusion.,"Improved counterpart of Potion, Super Potion, Hyper Potion, Max Potion, and Full Heal.",true
galactic-key,Galactic Key,https://cdn.pokedb.org/de5a10c2bb2652c0e7b130d71de06ba88e6a53f09e87d682c441014e0db95419,https://cdn.pokedb.org/de5a10c2bb2652c0e7b130d71de06ba88e6a53f09e87d682c441014e0db95419w20h20,key-items,4,false,false,true,A card key used to disengage security systems in Team Galactic facilities.,"In Ultra Sun and Ultra Moon, the item is consumed after use during Episode RR.",false
galarica-cuff,Galarica Cuff,https://cdn.pokedb.org/d48572caaeced9548f7807aa6ae6a662525cf8b7f9311f542ed2bb8c3c5bef11,https://cdn.pokedb.org/d48572caaeced9548f7807aa6ae6a662525cf8b7f9311f542ed2bb8c3c5bef11w20h20,evolution-items,8,true,false,true,An Evolution item that causes Galarian Slowpoke to evolve into Galarian Slowbro when used.,,false
galarica-twig,Galarica Twig,https://cdn.pokedb.org/82d2e674607fc5a17ceadffdb094745255dbf0d5679308aa057cc6b446ea03c5,https://cdn.pokedb.org/82d2e674607fc5a17ceadffdb094745255dbf0d5679308aa057cc6b446ea03c5w20h20,misc-items,8,true,true,false,"A twig from a Galarica tree, used as material to make accessories for certain Pokémon.",,false
galarica-wreath,Galarica Wreath,https://cdn.pokedb.org/077f27e934e7585dc550a3f9d8ddcbb0745bf8382b21a0e20227c6e16a9d05a9,https://cdn.pokedb.org/077f27e934e7585dc550a3f9d8ddcbb0745bf8382b21a0e20227c6e16a9d05a9w20h20,evolution-items,8,true,false,true,A wreath made from Galarica Twigs that causes Galarian Slowpoke to evolve into Galarian Slowking when used.,,false
galladite,Galladite,https://cdn.pokedb.org/594a6d0b5364753803398b3a16ed9e9862d24c54952869c33ec871bb01ce598f,https://cdn.pokedb.org/594a6d0b5364753803398b3a16ed9e9862d24c54952869c33ec871bb01ce598fw20h20,mega-stones,6,false,true,false,A Mega Stone that allows Gallade to Mega Evolve into Mega Gallade when held.,,true
ganlon-berry,Ganlon Berry,https://cdn.pokedb.org/b83bd58c51ed46cd7afbf469c1f8bdac0d9da0ea0cda9af074fcd8739cfd2779,https://cdn.pokedb.org/b83bd58c51ed46cd7afbf469c1f8bdac0d9da0ea0cda9af074fcd8739cfd2779w20h20,berries,3,true,true,false,A Berry that raises the holder's Defense when its HP falls to a critical level.,Raises Defense by one stage when HP is at or below one-quarter; interacts with Gluttony and Ripen abilities.,true
garchompite,Garchompite,https://cdn.pokedb.org/80872a79767aee42a6b2a4ebd17b1bec00f20e5c19d6d053ae4664d43eecfb62,https://cdn.pokedb.org/80872a79767aee42a6b2a4ebd17b1bec00f20e5c19d6d053ae4664d43eecfb62w20h20,mega-stones,6,false,true,true,A Mega Stone that allows Garchomp to Mega Evolve into Mega Garchomp when held.,Unaffected by item-negating effects and cannot be removed or swapped from Garchomp.,true
garchompite-z,Garchompite Z,,,mega-stones,9,false,true,false,A Mega Stone that allows Garchomp to Mega Evolve into Mega Garchomp Z during battle.,,true
gardevoirite,Gardevoirite,https://cdn.pokedb.org/9f3601e481cbd3e169c9a0f5fe70e0486431b6c0c10558130543430e5b9becd1,https://cdn.pokedb.org/9f3601e481cbd3e169c9a0f5fe70e0486431b6c0c10558130543430e5b9becd1w20h20,mega-stones,6,false,true,true,A Mega Stone that allows Gardevoir to Mega Evolve into Mega Gardevoir when held.,Unaffected by item-negating effects and cannot be removed or exchanged while held by Gardevoir.,true
gastly-candy,Gastly Candy,https://cdn.pokedb.org/70ca8df79d6028ff6a45420093189b51962e7f6a9efc64b8edb997046b8532da,https://cdn.pokedb.org/70ca8df79d6028ff6a45420093189b51962e7f6a9efc64b8edb997046b8532daw20h20,candy,7,true,false,true,"A species-specific candy that increases all AVs by 1 point for Gastly, Haunter, or Gengar.",,false
gastly-gas,Gastly Gas,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by the Gastly evolutionary line that can be used to craft TMs at the TM Machine.,,false
gb-sounds,GB Sounds,https://cdn.pokedb.org/1b294781512a0e44a8d56604f7054a74a2a375d4f4d874427c7b2642c0e14db6,https://cdn.pokedb.org/1b294781512a0e44a8d56604f7054a74a2a375d4f4d874427c7b2642c0e14db6w20h20,key-items,4,false,false,true,A music player that changes the background music to nostalgic chiptune-style arrangements.,Exclusive to Pokémon HeartGold and SoulSilver.,false
gengarite,Gengarite,https://cdn.pokedb.org/672f8c7e96776098d9c4d244b94531780745285c216e7e1b4c7bcbb72ecb2971,https://cdn.pokedb.org/672f8c7e96776098d9c4d244b94531780745285c216e7e1b4c7bcbb72ecb2971w20h20,mega-stones,6,false,true,false,A Mega Stone that allows Gengar to Mega Evolve into Mega Gengar.,,true
genius-feather,Genius Feather,https://cdn.pokedb.org/523a639784e8f0a211d53a208585551fd94dfee13077de556d138cf14dd55f18,https://cdn.pokedb.org/523a639784e8f0a211d53a208585551fd94dfee13077de556d138cf14dd55f18w20h20,medicine,5,true,false,true,A feather that slightly increases a Pokémon’s Special Attack base points.,Known as Genius Wing prior to Pokémon Sword and Shield.,false
genius-mochi,Genius Mochi,https://cdn.pokedb.org/e3c974a78172728b19c8f967e28547ba8ff02fe8007d54d68d4f66cce0f00aaf,https://cdn.pokedb.org/e3c974a78172728b19c8f967e28547ba8ff02fe8007d54d68d4f66cce0f00aafw20h20,misc-items,9,true,false,true,A mochi cake that increases a Pokémon’s Special Attack EVs when used.,,false
genome-slate,Genome Slate,https://cdn.pokedb.org/b3ba723babbbad364b0a48fc2a2ca4eb583a4bf069fbdf08ee535081a36cac6f,https://cdn.pokedb.org/b3ba723babbbad364b0a48fc2a2ca4eb583a4bf069fbdf08ee535081a36cac6fw20h20,valueable-items,8,false,false,true,A mysterious slate that resonates with the Genome Room at Ramanas Park and allows an encounter with Mewtwo.,Only available after catching specific Legendary Pokémon depending on version.,false
gentle-mint,Gentle Mint,https://cdn.pokedb.org/7fe1e6d24293756531291dddf0c4df20f29c20953658d7c7b868037d9e2a1b96,https://cdn.pokedb.org/7fe1e6d24293756531291dddf0c4df20f29c20953658d7c7b868037d9e2a1b96w20h20,misc-items,8,true,false,true,"A mint that changes the effect of a Pokémon's Nature to Gentle, raising Special Defense while lowering Defense.",,false
geodude-candy,Geodude Candy,https://cdn.pokedb.org/186447466de69746e677abde11f7376b6d5cf1f5e3d82b1aac8cae98c7655518,https://cdn.pokedb.org/186447466de69746e677abde11f7376b6d5cf1f5e3d82b1aac8cae98c7655518w20h20,candy,7,true,false,true,"A species-specific candy that increases all AVs by 1 point for Geodude, Graveler, or Golem, including Alolan forms.",,false
geodude-fragment,Geodude Fragment,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by the Geodude evolutionary line that can be used to craft TMs at the TM Machine.,,false
ghost-gem,Ghost Gem,https://cdn.pokedb.org/a87bf296f0b18e3a74c975f99b992e8de4eab5cda6c2e1e06ce167b9e319b7cf,https://cdn.pokedb.org/a87bf296f0b18e3a74c975f99b992e8de4eab5cda6c2e1e06ce167b9e319b7cfw20h20,held-items,5,true,true,false,A gem with a spectral essence that boosts the power of a Ghost-type move once when held.,Unobtainable as a held item in Generation VI onward.,true
ghost-memory,Ghost Memory,https://cdn.pokedb.org/5a87ff6788ccca58235425e515548d1b3b661bbe40183cbe6a288253758215e1,https://cdn.pokedb.org/5a87ff6788ccca58235425e515548d1b3b661bbe40183cbe6a288253758215e1w20h20,held-items,7,false,true,false,A memory disc containing Ghost-type data that changes the holder’s type if held by a certain species of Pokémon.,Associated with Silvally and its RKS System.,false
ghost-tera-shard,Ghost Tera Shard,https://cdn.pokedb.org/17c81302ea34d0760410acd020515c3f8bdc5d9a7a715b5935bb6d6001040558,https://cdn.pokedb.org/17c81302ea34d0760410acd020515c3f8bdc5d9a7a715b5935bb6d6001040558w20h20,misc-items,9,true,true,true,A shard that can be used to change a Pokémon’s Tera Type to Ghost.,Corresponds to the Ghost type Tera Shard.,false
ghostium-z,Ghostium Z,https://cdn.pokedb.org/447aef2ccad9a138b8370d955cfe72e5e2bc9ccb4cf443079b7904efebc1ebdd,https://cdn.pokedb.org/447aef2ccad9a138b8370d955cfe72e5e2bc9ccb4cf443079b7904efebc1ebddw20h20,z-crystals,7,false,true,false,A type-specific Z-Crystal that upgrades Ghost-type moves into powerful Z-Moves.,,true
gible-scales,Gible Scales,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by the Gible evolutionary line that can be used to craft TMs at the TM Machine.,,false
gigantamix,Gigantamix,https://cdn.pokedb.org/d0f4208dcd3e8ff804253dfd55bff93ca94c4a99550d2f2e52170a73f459884b,https://cdn.pokedb.org/d0f4208dcd3e8ff804253dfd55bff93ca94c4a99550d2f2e52170a73f459884bw20h20,ingredients,8,true,false,true,A mysterious spice ingredient used for cooking curry that can make the dish gigantic.,,false
gigaton-ball,Gigaton Ball,,,poke-balls,8,true,false,true,An extremely heavy Poké Ball that is highly effective when used on Pokémon that have not noticed the player.,Upgraded version of the Leaden Ball.,true
gimmighoul-coin,Gimmighoul Coin,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A coin treasured and hoarded by Gimmighoul. 999 coins are required to evolve Gimmighoul into Gholdengo.,Required for Gimmighoul evolution; can also be obtained from Roaming Gimmighoul in the overworld,false
girafarig-fur,Girafarig Fur,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Girafarig or Farigiraf that can be used to craft TMs at the TM Machine.,,false
glalitite,Glalitite,https://cdn.pokedb.org/2cc4c1cbc9b87f5b795cb9b3472ac527b746c4636bba82eb0cd78a925790de73,https://cdn.pokedb.org/2cc4c1cbc9b87f5b795cb9b3472ac527b746c4636bba82eb0cd78a925790de73w20h20,mega-stones,6,false,true,false,A Mega Stone that allows Glalie to Mega Evolve into Mega Glalie when held.,Unaffected by item-negating effects and cannot be removed from Glalie by item-manipulating moves.,true
glastrier-treat,Glastrier Treat,https://cdn.pokedb.org/11396ecb0ac496e1454467b99bdc139e62287d80089b8eba679dc61d57b11c9c,https://cdn.pokedb.org/11396ecb0ac496e1454467b99bdc139e62287d80089b8eba679dc61d57b11c9cw20h20,key-items,9,false,false,true,A snack made from ingredients favored by the Legendary Pokémon Glastrier.,One of the treats obtained from Snacksworth that allows the player to encounter a Legendary Pokémon.,false
gligar-fang,Gligar Fang,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Gligar or Gliscor that can be exchanged for LP or used with the Item Printer.,Not used in any TM recipes,false
