item_identifier,version_identifier,item_acquisition_type_identifier,item_acquisition_subtype_identifier,location_area_identifier,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,pokemon_currency_identifier,required_badge,unlock_condition,notes
digger-drill,shining-pearl,exchange,,,Sphere traders,true,false,true,,,,,,,
direshroom,legends-arceus,overworld,recurring,crimson-mirelands,,true,false,true,,,,,,,
direshroom,legends-arceus,overworld,recurring,cobalt-coastlands,,true,false,true,,,,,,,
direshroom,legends-arceus,overworld,recurring,coronet-highlands,,true,false,true,,,,,,,
direshroom,legends-arceus,harvest,,,Farm (mushroom harvest),true,false,true,,,,,,,
direshroom,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),true,false,true,,,480,pokedollars,,"After starting Mission 10: ""The Lordless Island""",
discount-coupon,alpha-sapphire,exchange,,,Trade,true,false,true,,,,,,,
discount-coupon,omega-ruby,exchange,,,Trade,true,false,true,,,,,,,
discount-coupon,x,event,,,Pokémon Global Link,false,false,true,,,,,,,
discount-coupon,y,event,,,Pokémon Global Link,false,false,true,,,,,,,
discovery-slate,brilliant-diamond,exchange,,ramanas-park,Ramanas Park exchange,true,false,true,,,,,,,Obtained in exchange for Mysterious Shards.
discovery-slate,shining-pearl,exchange,,ramanas-park,Ramanas Park exchange,true,false,true,,,,,,,Obtained in exchange for Mysterious Shards.
distortion-slate,brilliant-diamond,exchange,,ramanas-park,Purchase using Mysterious Shards,true,false,true,,,,,,"After catching Regirock, Regice, Registeel, and Giratina",Costs 3 Mysterious Shards S or 1 Mysterious Shard L
distortion-slate,shining-pearl,exchange,,ramanas-park,Purchase using Mysterious Shards,true,false,true,,,,,,"After catching Regirock, Regice, Registeel, and Giratina",Costs 3 Mysterious Shards S or 1 Mysterious Shard L
dna-splicers,alpha-sapphire,overworld,hidden,gnarled-den,Inside the cave,false,true,true,,,,,,,
dna-splicers,black-2,dropped,,giant-chasm,Dropped by Kyurem,false,false,true,,,,,,,
dna-splicers,moon,npc-gift,,aether-paradise,Aether Foundation Employee in Secret Lab A,false,false,true,,,,,,,
dna-splicers,omega-ruby,overworld,hidden,gnarled-den,Inside the cave,false,true,true,,,,,,,
dna-splicers,scarlet,auction,,porto-marinada,Auction house,true,false,false,,,,,,If the player owns a Kyurem,
dna-splicers,shield,bargain-shop,,stow-on-side,Bargain shop keeper,false,false,true,,,,,,If the player owns a Kyurem,
dna-splicers,sun,npc-gift,,aether-paradise,Aether Foundation Employee in Secret Lab A,false,false,true,,,,,,,
dna-splicers,sword,bargain-shop,,stow-on-side,Bargain shop keeper,false,false,true,,,,,,If the player owns a Kyurem,
dna-splicers,violet,auction,,porto-marinada,Auction house,true,false,false,,,,,,If the player owns a Kyurem,
dna-splicers,white-2,dropped,,giant-chasm,Dropped by Kyurem,false,false,true,,,,,,,
dna-splicers,x,npc-gift,,kiloude-city,Punk Girl in a northeastern house,false,false,true,,,,,,If shown a Kyurem,
dna-splicers,y,npc-gift,,kiloude-city,Punk Girl in a northeastern house,false,false,true,,,,,,If shown a Kyurem,
dome-fossil,diamond,mining,,underground,After obtaining the National Pokédex,true,false,false,,,,,,After obtaining the National Pokédex,
dome-fossil,red,choice,,mt-moon,Choice between Dome Fossil and Helix Fossil,false,false,true,,,,,,,
doppel-bonnets,legends-arceus,overworld,recurring,coronet-highlands,,true,false,true,,,,,,,Recurring item spawn
doppel-bonnets,legends-arceus,overworld,recurring,alabaster-icelands,,true,false,true,,,,,,,Recurring item spawn
doppel-bonnets,legends-arceus,harvest,,,Farm mushroom harvest,true,false,true,,,,,,,
doppel-bonnets,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),true,false,true,,,480,pokedollars,,After starting Mission 11: Scaling Perilous Heights,
douse-drive,alpha-sapphire,npc-gift,,mauville-city,Show Genesect to a Street Thug,false,false,true,,,,,,,
douse-drive,black,npc-gift,,p2-laboratory,Show Genesect to Scientist Dudley,false,false,true,,,,,,,
douse-drive,black-2,npc-gift,,p2-laboratory,Show Genesect to Scientist Dudley,false,false,true,,,,,,,
douse-drive,legends-za,exchange,,vert-sector-7,Mega Shard exchange after Side Mission 191,true,false,true,,,540,,,After initiating Side Mission 191: Collecting Four Drives,
douse-drive,moon,npc-gift,,alola-route-08,From Colress after becoming Champion,false,false,true,,,,,,After becoming Champion,
douse-drive,omega-ruby,npc-gift,,mauville-city,Show Genesect to a Street Thug,false,false,true,,,,,,,
douse-drive,shield,bargain-shop,,stow-on-side,Bargain shop keeper,false,false,true,,,,,,If the player owns a Genesect,
douse-drive,sun,npc-gift,,alola-route-08,From Colress after becoming Champion,false,false,true,,,,,,After becoming Champion,
douse-drive,sword,bargain-shop,,stow-on-side,Bargain shop keeper,false,false,true,,,,,,If the player owns a Genesect,
douse-drive,ultra-moon,npc-gift,,alola-route-08,From Colress after becoming Champion,false,false,true,,,,,,After becoming Champion,
douse-drive,ultra-sun,npc-gift,,alola-route-08,From Colress after becoming Champion,false,false,true,,,,,,After becoming Champion,
douse-drive,white,npc-gift,,p2-laboratory,Show Genesect to Scientist Dudley,false,false,true,,,,,,,
douse-drive,white-2,npc-gift,,p2-laboratory,Show Genesect to Scientist Dudley,false,false,true,,,,,,,
douse-drive,x,npc-gift,,ambrette-town,Show Genesect to a Hiker at the Fossil Lab,false,false,true,,,,,,,
douse-drive,y,npc-gift,,ambrette-town,Show Genesect to a Hiker at the Fossil Lab,false,false,true,,,,,,,
dowsing-machine,black,npc-gift,,nacrene-city,From Bianca after obtaining the Basic Badge,false,false,true,,,,,basic-badge,,
dowsing-machine,gold,npc-gift,,ecruteak-city,Man in a house next to the Gym,false,false,true,,,,,,,
dowsing-machine,red,npc-gift,,route-11-kanto,Gate 2F from Oak's aide after obtaining 30 Pokémon,false,false,true,,,,,,After obtaining 30 Pokémon,
dowsing-machine,ruby,npc-defeat,,hoenn-route-110,From Brendan/May after defeating them,false,false,true,,,,,,,
dowsing-machine,x,npc-gift,,kalos-route-08,From a Swimmer after clearing Glittering Cave,false,false,true,,,,,,After clearing Glittering Cave,
draco-plate,alpha-sapphire,overworld,visible,hoenn-route-128,Underwater,false,false,true,,,,,,,
draco-plate,black,overworld,visible,unova-route-13,,false,false,true,,,,,,,
draco-plate,black-2,overworld,visible,undella-bay,,false,false,true,,,,,,,
draco-plate,brilliant-diamond,overworld,visible,eterna-city,,false,false,true,,,,,,,Also obtainable in Grand Underground
draco-plate,diamond,overworld,visible,eterna-city,,false,false,true,,,,,,,Also obtainable Underground
draco-plate,heartgold,npc-gift,,ss-aqua,Captain (after all 16 Badges),false,false,true,,,,,,After obtaining all 16 Gym Badges,
draco-plate,legends-arceus,story,,lake-verity-hisui,Mission 21 reward,false,false,true,,,,,,"Reward for catching Uxie, Mesprit, and Azelf",
draco-plate,moon,overworld,visible,hauoli-city,Shopping District,false,false,true,,,,,,,
draco-plate,omega-ruby,overworld,visible,hoenn-route-128,Underwater,false,false,true,,,,,,,
draco-plate,pearl,overworld,visible,eterna-city,,false,false,true,,,,,,,Also obtainable Underground
draco-plate,platinum,overworld,visible,eterna-city,,false,false,true,,,,,,,Also obtainable Underground
draco-plate,scarlet,auction,,porto-marinada,Auction,false,false,false,,,,,,If the player owns an Arceus,
draco-plate,shining-pearl,overworld,visible,eterna-city,,false,false,true,,,,,,,Also obtainable in Grand Underground
draco-plate,soulsilver,npc-gift,,ss-aqua,Captain (after all 16 Badges),false,false,true,,,,,,After obtaining all 16 Gym Badges,
draco-plate,sun,overworld,visible,hauoli-city,Shopping District,false,false,true,,,,,,,
draco-plate,ultra-moon,overworld,visible,hauoli-city,Shopping District,false,false,true,,,,,,,
draco-plate,ultra-sun,overworld,visible,hauoli-city,Shopping District,false,false,true,,,,,,,
draco-plate,violet,auction,,porto-marinada,Auction,false,false,false,,,,,,If the player owns an Arceus,
draco-plate,white,overworld,visible,unova-route-13,,false,false,true,,,,,,,
draco-plate,white-2,overworld,visible,undella-bay,,false,false,true,,,,,,,
draco-plate,x,overworld,visible,kalos-route-22,,false,false,true,,,,,,,
draco-plate,y,overworld,visible,kalos-route-22,,false,false,true,,,,,,,
dragalgite,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,false,false,true,,,240,,,"After completing Main Mission 30: ""Reaching Rank B""",Exchanged for 240 Mega Shards
dragon-gem,black,event,,,,false,false,true,,,,,,,
dragon-gem,black-2,overworld,visible,mistralton-cave,,false,false,true,,,,,,,
dragon-gem,white,event,,,,false,false,true,,,,,,,
dragon-gem,white-2,overworld,visible,mistralton-cave,,false,false,true,,,,,,,
dragon-memory,moon,npc-gift,,aether-paradise,From Gladion,false,false,true,,,,,,After becoming Champion,
dragon-memory,shield,npc-gift,,battle-tower-galar,From League Staff member,false,false,true,,,,,,,
dragon-memory,sun,npc-gift,,aether-paradise,From Gladion,false,false,true,,,,,,After becoming Champion,
dragon-memory,sword,npc-gift,,battle-tower-galar,From League Staff member,false,false,true,,,,,,,
dragon-memory,ultra-moon,npc-gift,,ancient-poni-path,From Wicke,false,false,true,,,,,,After becoming Champion,
dragon-memory,ultra-sun,npc-gift,,ancient-poni-path,From Wicke,false,false,true,,,,,,After becoming Champion,
dragon-skull,black,npc-defeat,,pinwheel-forest,Last Team Plasma Grunt,false,false,true,,,,,basic-badge,After earning the Basic Badge,
dragon-skull,white,npc-defeat,,pinwheel-forest,Last Team Plasma Grunt,false,false,true,,,,,basic-badge,After earning the Basic Badge,
dragon-tera-shard,scarlet,npc-gift,,naranja-academy,Hassel,false,false,true,,,,,,After completing Hassel’s storyline,
dragon-tera-shard,scarlet,overworld,visible,area-zero,,false,false,true,,,,,,,
dragon-tera-shard,scarlet,tournament,,,Academy Ace Tournament,true,false,false,,,,,,,
dragon-tera-shard,the-indigo-disk,item-printer,,,Item Printer,true,false,false,,,,,,,
dragon-tera-shard,the-indigo-disk,overworld,visible,area-zero-underdepths,,false,false,true,,,,,,,
dragon-tera-shard,the-teal-mask,contest,,,Ogre Oustin',true,false,false,,,,,,,
dragon-tera-shard,the-teal-mask,overworld,visible,crystal-pool,,false,false,true,,,,,,,
dragon-tera-shard,violet,raid,tera-raid-3star,,Tera Raid Battles,true,false,false,,,,,,3★ raids or higher,
dragon-tera-shard,violet,overworld,visible,casseroya-lake,,false,false,true,,,,,,,
dragon-tera-shard,violet,npc-gift,,uva-academy,Hassel,false,false,true,,,,,,After completing Hassel’s storyline,
dragoninite,legends-za,npc-defeat,,,"Defeating the Rogue Mega Dragonite in Main Mission 32: ""A Rogue Mega Dragonite""",false,false,true,,,,,,,
dragonium-z,moon,story,,vast-poni-canyon,Reward for completing the trial,false,false,true,,,,,,,
dragonium-z,sun,story,,vast-poni-canyon,Reward for completing the trial,false,false,true,,,,,,,
dragonium-z,ultra-moon,story,,vast-poni-canyon,Reward for completing the trial,false,false,true,,,,,,,
dragonium-z,ultra-sun,story,,vast-poni-canyon,Reward for completing the trial,false,false,true,,,,,,,
drampanite,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,true,false,true,,,360,,,,Costs 360 Mega Shards
dread-plate,diamond,overworld,visible,old-chateau,,false,false,true,,,,,,,
dread-plate,heartgold,npc-gift,,ss-aqua,Captain,false,false,true,,,,,,After obtaining all 16 Gym Badges,
dread-plate,legends-arceus,story,,moonview-arena,Mission 23 reward for catching Cresselia,false,false,true,,,,,,,
dread-plate,scarlet,auction,,porto-marinada,,false,false,false,,,,,,If the player owns an Arceus,
dream-ball,black,overworld,recurring,entree-forest,,true,false,true,,,,,,,
dream-ball,white,overworld,recurring,entree-forest,,true,false,true,,,,,,,
dream-mail,emerald,exchange,,,Trade,true,false,true,,,,,,,
dream-mail,firered,shop,poke-mart,six-island,Six Island Poké Mart,true,false,true,,,50,pokedollars,,,
dream-mail,leafgreen,shop,poke-mart,six-island,Six Island Poké Mart,true,false,true,,,50,pokedollars,,,
dream-mail,ruby,exchange,,,Trade,true,false,true,,,,,,,
dream-mail,sapphire,exchange,,,Trade,true,false,true,,,,,,,
dropped-item,black-2,overworld,visible,nimbasa-city,Near the flower bed in the amusement park,false,false,true,,,,,,,
dropped-item,white-2,overworld,visible,nimbasa-city,Near the flower bed in the amusement park,false,false,true,,,,,,,
ds-sounds,brilliant-diamond,npc-gift,,hotel-grand-lake,Sound designer,false,false,true,,,,,,After entering the Hall of Fame,
ds-sounds,shining-pearl,npc-gift,,hotel-grand-lake,Sound designer,false,false,true,,,,,,After entering the Hall of Fame,
dubious-disc,diamond,overworld,visible,route-225-sinnoh,,false,false,true,,,,,,,
dynamax-band,shield,npc-gift,,galar-route-02,From Professor Magnolia after obtaining the Wishing Star,false,false,true,,,,,,After obtaining the Wishing Star,
dynamax-band,sword,npc-gift,,galar-route-02,From Professor Magnolia after obtaining the Wishing Star,false,false,true,,,,,,After obtaining the Wishing Star,
dynamax-candy,shield,max-lair,dynite-ore-trader,,Max Lair,true,false,true,,,,dynite-ore,,Access to The Crown Tundra,
dynamax-candy,shield,raid,max-raid,,Max Raid Battles (all levels),true,false,false,,,,,,,
dynamax-candy,sword,max-lair,dynite-ore-trader,,Max Lair,true,false,true,,,,dynite-ore,,Access to The Crown Tundra,
dynamax-candy,sword,raid,max-raid,,Max Raid Battles (all levels),true,false,false,,,,,,,
dynamax-crystal,shield,event,,,Event distribution (various ★ star designations),false,false,true,,,,,,,
dynamax-crystal,sword,event,,,Event distribution (various ★ star designations),false,false,true,,,,,,,
dynite-ore,shield,overworld,recurring,slippery-slope,,true,true,true,1,,,,,,
dynite-ore,shield,exchange,watts,snowslide-slope,Watt Trader (Highlight Item),true,false,true,1,,1980,watts,,,
dynite-ore,shield,overworld,recurring,roaring-sea-caves,,true,true,true,1,,,,,,
dynite-ore,shield,max-lair,reward,max-lair,Dynamax Adventure,true,false,true,,,,,,,
dynite-ore,shield,raid,max-raid,,Max Raid Battles,true,false,false,,,,,,,
dynite-ore,sword,overworld,recurring,slippery-slope,,true,true,true,1,,,,,,
dynite-ore,sword,max-lair,reward,max-lair,Dynamax Adventure,true,false,true,,,,,,,
dynite-ore,sword,overworld,recurring,roaring-sea-caves,,true,true,true,1,,,,,,
dynite-ore,sword,raid,max-raid,,Max Raid Battles,true,false,false,,,,,,,
dynite-ore,sword,exchange,watts,snowslide-slope,Watt Trader (Highlight Item),true,false,true,1,,1980,watts,,,
earth-plate,black,overworld,visible,abyssal-ruins,,false,false,true,,,,,,,
earth-plate,brilliant-diamond,overworld,visible,oreburgh-gate,,false,false,true,,,,,,,
earth-plate,brilliant-diamond,mining,,,,true,false,false,,,,,,,
earth-plate,diamond,overworld,visible,oreburgh-gate,,false,false,true,,,,,,,
earth-plate,heartgold,npc-gift,,ss-aqua,Captain,false,false,true,,,,,,After obtaining all 16 Gym Badges,
earth-plate,legends-arceus,story,,sludge-mound,Mission 8: Arezu's Predicament,false,false,true,,,,,,After defeating Ursaluna,
earth-plate,omega-ruby,overworld,visible,hoenn-route-130,Underwater,false,false,true,,,,,,,
earth-plate,scarlet,auction,,porto-marinada,,false,false,true,,,,,,If the player owns an Arceus,
earth-plate,sun,overworld,visible,alola-route-01,,false,false,true,,,,,,,
earth-plate,x,overworld,visible,reflection-cave,,false,false,true,,,,,,,
eelektrossite,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,false,false,true,,,240,,,"After completing Main Mission 14: ""Reaching Rank E""",Requires Mega Shards
eevee-candy,lets-go-eevee,trainer-reward,trainer,route-11-kanto,Coach Trainer Will,false,false,true,5,,,,,,
eevee-candy,lets-go-eevee,trainer-reward,trainer,pokemon-tower,Coach Trainer Holly,false,false,true,5,,,,,,
eevee-candy,lets-go-eevee,trainer-reward,trainer,victory-road-kanto,Coach Trainer Alemana,false,false,true,10,,,,,,
eevee-cup,scarlet,shop,specialty-shop,cascarrafa,Picnic-Knacks (Cascarrafa Branch),true,false,true,,,2000,pokedollars,,,
eevee-cup,violet,shop,specialty-shop,cascarrafa,Picnic-Knacks (Cascarrafa Branch),true,false,true,,,2000,pokedollars,,,
eevium-z,moon,npc-gift,,thrifty-megamart,Given by Kagetora after defeating all Eevee users and Kagetora himself,false,false,true,,,,,,,
eevium-z,sun,npc-gift,,thrifty-megamart,Given by Kagetora after defeating all Eevee users and Kagetora himself,false,false,true,,,,,,,
eevium-z,ultra-moon,npc-gift,,thrifty-megamart,Given by Kagetora after defeating all Eevee users and Kagetora himself,false,false,true,,,,,,,
eevium-z,ultra-sun,npc-gift,,thrifty-megamart,Given by Kagetora after defeating all Eevee users and Kagetora himself,false,false,true,,,,,,,
egg,scarlet,overworld,visible,south-province-area-three,,false,false,true,,,,,,,
egg,scarlet,shop,vendor,,Deli Cioso,true,false,true,,,80,pokedollars,,,
egg,scarlet,vending-machine,,terarium,Vending machines,true,false,true,,,,,,,
egg,violet,overworld,visible,south-province-area-three,,false,false,true,,,,,,,
egg,violet,shop,vendor,,Deli Cioso,true,false,true,,,80,pokedollars,,,
egg,violet,vending-machine,,terarium,Vending machines,true,false,true,,,,,,,
egg-ticket,crystal,npc-gift,,route-34-johto,Received from the Day-Care Man if the Mobile Game Boy Adapter is connected or has been connected before (Japanese cartridge only).,false,false,true,,,,,,Mobile Game Boy Adapter connected or previously connected,Unavailable in Virtual Console releases.
eggant-berry,ruby,npc-gift,,petalburg-gym,From Norman after scanning the Eggant Berry e-Reader card,true,false,true,,,,,,After scanning the Eggant Berry e-Reader card,
eggant-berry,sapphire,npc-gift,,petalburg-gym,From Norman after scanning the Eggant Berry e-Reader card,true,false,true,,,,,,After scanning the Eggant Berry e-Reader card,
eject-pack,scarlet,shop,specialty-shop,levincia,Delibird Presents (Levincia Branch),true,false,true,,,30000,pokedollars,,After earning 4 Gym Badges,
eject-pack,shield,exchange,,battle-tower-galar,Battle Tower,true,false,true,,,20,battle-points,,,
eject-pack,shield,overworld,visible,snowslide-slope,,false,false,true,,,,,,The Crown Tundra,
eject-pack,sword,exchange,,battle-tower-galar,Battle Tower,true,false,true,,,20,battle-points,,,
eject-pack,sword,overworld,visible,snowslide-slope,,false,false,true,,,,,,The Crown Tundra,
eject-pack,violet,shop,specialty-shop,levincia,Delibird Presents (Levincia Branch),true,false,true,,,30000,pokedollars,,After earning 4 Gym Badges,
electric-gem,black,overworld,recurring,,Dust cloud,true,false,false,,,,,,,
electric-gem,black-2,overworld,visible,chargestone-cave,,false,false,true,,,,,,,
electric-gem,black-2,overworld,recurring,,Dust cloud,true,false,false,,,,,,,Multiple caves
electric-gem,dream,overworld,recurring,icy-cave,,true,false,false,,,,,,,Dream World
electric-gem,white,overworld,recurring,,Dust cloud,true,false,false,,,,,,,
electric-gem,white-2,overworld,visible,chargestone-cave,,false,false,true,,,,,,,
electric-gem,white-2,overworld,recurring,,Dust cloud,true,false,false,,,,,,,Multiple caves
electric-memory,moon,npc-gift,,aether-paradise,From Gladion,false,false,true,,,,,,After becoming Champion,
electric-memory,shield,npc-gift,,battle-tower-galar,From a League Staff member,false,false,true,,,,,,,
electric-memory,sun,npc-gift,,aether-paradise,From Gladion,false,false,true,,,,,,After becoming Champion,
electric-memory,sword,npc-gift,,battle-tower-galar,From a League Staff member,false,false,true,,,,,,,
electric-memory,ultra-moon,npc-gift,,ancient-poni-path,From Wicke,false,false,true,,,,,,After becoming Champion,
electric-memory,ultra-sun,npc-gift,,ancient-poni-path,From Wicke,false,false,true,,,,,,After becoming Champion,
electric-seed,moon,overworld,visible,mahalo-trail,,false,false,true,,,,,,,
electric-seed,scarlet,overworld,sparkling,west-province-area-three,,true,false,true,,,,,,,
electric-seed,scarlet,shop,specialty-shop,cascarrafa,Delibird Presents,true,false,true,,,20000,pokedollars,,After completing the main storyline,
electric-seed,shield,overworld,recurring,stepping-stone-sea,,true,true,true,,,,,,The Isle of Armor,
electric-seed,shield,overworld,visible,wyndon,,false,false,true,,,,,,,
electric-seed,sun,overworld,visible,mahalo-trail,,false,false,true,,,,,,,
electric-seed,sword,overworld,recurring,stepping-stone-sea,,true,true,true,,,,,,The Isle of Armor,
electric-seed,sword,overworld,visible,wyndon,,false,false,true,,,,,,,
electric-seed,ultra-moon,overworld,visible,mahalo-trail,,false,false,true,,,,,,,
electric-seed,ultra-sun,overworld,visible,mahalo-trail,,false,false,true,,,,,,,
electric-seed,violet,overworld,sparkling,west-province-area-three,,true,false,true,,,,,,,
electric-seed,violet,shop,specialty-shop,cascarrafa,Delibird Presents,true,false,true,,,20000,pokedollars,,After completing the main storyline,
electric-tera-shard,scarlet,overworld,visible,area-zero,,false,false,true,,,,,,,
electric-tera-shard,scarlet,overworld,visible,levincia,,false,false,true,,,,,,,
electric-tera-shard,scarlet,tournament,,,Academy Ace Tournament,true,false,false,,,,,,,
electric-tera-shard,scarlet,tera-raid,tera-raid-5star,,Tera Raid Battles (3★ onwards),true,false,false,,,,,,,
electric-tera-shard,scarlet,overworld,visible,oni-mountain,,false,false,true,,,,,,The Teal Mask,
electric-tera-shard,scarlet,contest,,,Ogre Oustin',true,false,false,,,,,,The Teal Mask,
electric-tera-shard,scarlet,overworld,visible,area-zero-underdepths,,false,false,true,,,,,,The Indigo Disk,
electric-tera-shard,scarlet,item-printer,item-printer,,Item Printer,true,false,false,,,,,,The Indigo Disk,
electric-tera-shard,violet,item-printer,item-printer,,Item Printer,true,false,false,,,,,,The Indigo Disk,
electric-tera-shard,violet,overworld,visible,area-zero,,false,false,true,,,,,,,
electric-tera-shard,violet,overworld,visible,oni-mountain,,false,false,true,,,,,,The Teal Mask,
electric-tera-shard,violet,overworld,visible,levincia,,false,false,true,,,,,,,
electric-tera-shard,violet,overworld,visible,area-zero-underdepths,,false,false,true,,,,,,The Indigo Disk,
electric-tera-shard,violet,tournament,,,Academy Ace Tournament,true,false,false,,,,,,,
electric-tera-shard,violet,contest,,,Ogre Oustin',true,false,false,,,,,,The Teal Mask,
electric-tera-shard,violet,tera-raid,tera-raid-5star,,Tera Raid Battles (3★ onwards),true,false,false,,,,,,,
electrium-z,moon,trainer-reward,trainer,ten-carat-hill,Reward from Professor Kukui after defeating Totem Hakamo-o (Demo),false,false,true,,,,,,Pokémon Sun and Moon Demo completion,
electrium-z,moon,trainer-reward,trainer,hokulani-observatory,Reward for completing Sophocles's trial,false,false,true,,,,,,,
electrium-z,sun,trainer-reward,trainer,ten-carat-hill,Reward from Professor Kukui after defeating Totem Hakamo-o (Demo),false,false,true,,,,,,Pokémon Sun and Moon Demo completion,
electrium-z,sun,trainer-reward,trainer,hokulani-observatory,Reward for completing Sophocles's trial,false,false,true,,,,,,,
electrium-z,ultra-moon,trainer-reward,trainer,hokulani-observatory,Reward for completing Sophocles's trial,false,false,true,,,,,,,
electrium-z,ultra-sun,trainer-reward,trainer,hokulani-observatory,Reward for completing Sophocles's trial,false,false,true,,,,,,,
elevator-key,legends-za,story,,lysandre-labs,,false,false,true,,,,,,,
elevator-key,x,npc-defeat,,lysandre-labs,From Mable after defeating her,false,false,true,,,,,,,
elevator-key,y,npc-defeat,,lysandre-labs,From Mable after defeating her,false,false,true,,,,,,,
elixir,gold,overworld,visible,,"Routes 2, 12, 44, 45; Mt. Mortar; Dark Cave; Rock Tunnel; Union Cave; Lake of Rage (event)",false,false,true,,,,,,,
elixir,red,overworld,visible,,"Route 25, Pokémon Tower, Silph Co., Underground Path (Routes 7–8)",false,false,true,,,,,,,
emboarite,legends-za,story,,,"Obtained from AZ during Main Mission 10: ""The Secrets of Mega Evolution""",false,false,true,,,,,,If the player's first partner Pokémon was Tepig,
emboarite,legends-za,shop,specialty-shop,,Stone Emporium,true,false,true,,,,,,"If the player's first partner Pokémon was not Tepig, after completing Main Mission 37: ""Operation Protect Lumiose""",
endorsement,shield,npc-gift,,galar-route-02,From Leon after battling Hop,false,false,true,,,,,,,
endorsement,sword,npc-gift,,galar-route-02,From Leon after battling Hop,false,false,true,,,,,,,
enigma-stone,heartgold,event,,,Wi-Fi Mystery Gift,false,false,true,,,,,,After receiving the National Pokédex,
enigma-stone,soulsilver,event,,,Wi-Fi Mystery Gift,false,false,true,,,,,,After receiving the National Pokédex,
enigmatic-card,moon,npc-gift,,alola-route-01,Man in front of the player's house,false,false,true,,,,,,After entering the Hall of Fame,
enigmatic-card,sun,npc-gift,,alola-route-01,Man in front of the player's house,false,false,true,,,,,,After entering the Hall of Fame,
entei-treat,scarlet,npc-gift,,blueberry-academy,Entrance (Snacksworth),false,false,true,,,,,,After completing 10 solo Blueberry Quests,
entei-treat,violet,npc-gift,,blueberry-academy,Entrance (Snacksworth),false,false,true,,,,,,After completing one group Blueberry Quest,
eon-flute,alpha-sapphire,npc-gift,,sootopolis-city,Steven,false,false,true,,,,,,After ending the world disaster caused by Kyogre.,
eon-flute,omega-ruby,npc-gift,,sootopolis-city,Steven,false,false,true,,,,,,After ending the world disaster caused by Groudon.,
eon-mail,crystal,event,,,Mystery Gift,true,false,true,,,,,,,
eon-mail,gold,event,,,Mystery Gift,true,false,true,,,,,,,
eon-mail,silver,event,,,Mystery Gift,true,false,true,,,,,,,
epice-noire,legends-za,story,,lumiose-city,"Corbeau at Hotel Z during Hyperspace Mission 11: ""Hyperspace Lumiose Survey No. 6""",false,false,true,,,,,,,
escape-rope,red,shop,poke-mart,,Various Poké Marts,true,false,true,,,550,pokedollars,,,
eternal-ice,legends-arceus,overworld,visible,avaluggs-legacy,On top of the biggest ice formation; requires Ride Braviary,false,false,true,,,,,,,
excadrite,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,false,false,true,,,360,,,"After completing Main Mission 14: ""Reaching Rank E""",Requires Mega Shards
exercise-ball,scarlet,shop,specialty-shop,levincia,Picnic-Knacks (Levincia Branch),true,false,true,,,2000,pokedollars,,,
exercise-ball,violet,shop,specialty-shop,levincia,Picnic-Knacks (Levincia Branch),true,false,true,,,2000,pokedollars,,,
exp-candy-s,legends-arceus,request,,jubilife-village,Rewards from multiple Requests,false,false,true,,,,,,By completing specific requests,
exp-candy-s,scarlet,raid,tera-raid-1star,,Tera Raid Battles (1★–3★),true,false,false,,,,,,,
exp-candy-s,sword,raid,max-raid,,"Max Raid Battles (1★, 2★)",true,false,false,,,,,,,
exp-candy-xl,legends-arceus,npc-gift,,jubilife-village,From Vessa for collecting 90 wisps,false,false,true,,,,,,After collecting 90 wisps,
exp-candy-xl,scarlet,tera-raid,tera-raid-5star,,Tera Raid Battles,true,false,false,,,,,,,Also obtainable from 6★ and 7★ raids
exp-candy-xl,shield,raid,max-raid,,Max Raid Battles (5★),true,false,false,,,,,,,
exp-candy-xl,sword,raid,max-raid,,Max Raid Battles (5★),true,false,false,,,,,,,
exp-candy-xl,violet,tera-raid,tera-raid-5star,,Tera Raid Battles,true,false,false,,,,,,,Also obtainable from 6★ and 7★ raids
exp-charm,scarlet,achievement,,,Ogre Oustin',false,false,true,,,,,,After completing Easy difficulty for the first time,The Teal Mask
exp-charm,shield,npc-gift,,master-dojo,Hyde (upon entering for the first time),false,false,true,,,,,,Upon first entering the Master Dojo,
exp-charm,sword,npc-gift,,master-dojo,Hyde (upon entering for the first time),false,false,true,,,,,,Upon first entering the Master Dojo,
exp-charm,violet,achievement,,,Ogre Oustin',false,false,true,,,,,,After completing Easy difficulty for the first time,The Teal Mask
exp-share,red,npc-gift,,route-15-kanto,Route 15 gate 2F from Oak's aide after obtaining 50 Pokémon,false,false,true,,,,,,After obtaining 50 Pokémon,
explorer-kit,brilliant-diamond,npc-gift,,eterna-city,Underground Man,false,false,true,,,,,,,
explorer-kit,diamond,npc-gift,,eterna-city,Underground Man,false,false,true,,,,,,,
explorer-kit,pearl,npc-gift,,eterna-city,Underground Man,false,false,true,,,,,,,
explorer-kit,platinum,npc-gift,,eterna-city,Underground Man,false,false,true,,,,,,,
