item_identifier,version_identifier,price_type,amount,pokemon_currency_identifier,notes
growth-mulch,black-white,sell,100,pokedollars,
growth-mulch,diamond-pearl,buy,200,pokedollars,
growth-mulch,diamond-pearl,sell,100,pokedollars,
growth-mulch,heartgold-soulsilver,buy,200,pokedollars,
growth-mulch,heartgold-soulsilver,sell,100,pokedollars,
growth-mulch,omega-ruby-alpha-sapphire,sell,100,pokedollars,
growth-mulch,platinum,buy,200,pokedollars,
growth-mulch,platinum,sell,100,pokedollars,
growth-mulch,sun-moon,sell,100,pokedollars,
growth-mulch,ultra-sun-ultra-moon,sell,100,pokedollars,
growth-mulch,x-y,sell,100,pokedollars,
guard-spec,red-blue,sell,350,pokedollars,
guard-spec,red-blue,buy,700,pokedollars,
guard-spec,scarlet-violet,sell,375,pokedollars,
guard-spec,scarlet-violet,buy,1500,pokedollars,
guard-spec,sun-moon,sell,750,pokedollars,
guard-spec,sun-moon,buy,1500,pokedollars,
guard-spec,ultra-sun-ultra-moon,sell,750,pokedollars,
guard-spec,ultra-sun-ultra-moon,buy,1500,pokedollars,
guard-spec,yellow,buy,700,pokedollars,
guard-spec,yellow,sell,350,pokedollars,
gyaradosite,lets-go-eevee,buy,30000,pokedollars,
gyaradosite,lets-go-pikachu,buy,30000,pokedollars,
haban-berry,black-2-white-2,sell,10,pokedollars,Can be sold for 20 to Gourmet Maniac in Generation V
haban-berry,black-white,sell,10,pokedollars,Can be sold for 20 to Gourmet Maniac in Generation V
haban-berry,brilliant-diamond-shining-pearl,sell,10,pokedollars,
haban-berry,diamond-pearl,sell,10,pokedollars,
haban-berry,heartgold-soulsilver,sell,10,pokedollars,
haban-berry,omega-ruby-alpha-sapphire,sell,10,pokedollars,
haban-berry,platinum,sell,10,pokedollars,
haban-berry,scarlet-violet,sell,20,pokedollars,
haban-berry,sun-moon,sell,10,pokedollars,
haban-berry,sword-shield,sell,40,pokedollars,
haban-berry,ultra-sun-ultra-moon,sell,10,pokedollars,
haban-berry,x-y,sell,10,pokedollars,
ham,scarlet-violet,buy,170,pokedollars,
ham,scarlet-violet,sell,42,pokedollars,
hamburger,scarlet-violet,sell,95,pokedollars,
hamburger,scarlet-violet,buy,380,pokedollars,
harbor-mail,emerald,sell,25,pokedollars,
harbor-mail,emerald,buy,50,pokedollars,
harbor-mail,firered-leafgreen,sell,25,pokedollars,Not purchasable
harbor-mail,ruby-sapphire,buy,50,pokedollars,
harbor-mail,ruby-sapphire,sell,25,pokedollars,
hard-stone,crystal,sell,50,pokedollars,
hard-stone,gold-silver,sell,50,pokedollars,
hard-stone,scarlet-violet,buy,3000,pokedollars,
hard-stone,scarlet-violet,sell,750,pokedollars,
hard-stone,sun-moon,sell,500,pokedollars,
hard-stone,ultra-sun-ultra-moon,sell,500,pokedollars,
hasty-mint,brilliant-diamond-shining-pearl,sell,10,pokedollars,
hasty-mint,legends-arceus,sell,500,pokedollars,
hasty-mint,scarlet-violet,buy,20000,pokedollars,
hasty-mint,scarlet-violet,sell,5000,pokedollars,
hasty-mint,sword-shield,sell,10,pokedollars,
heal-ball,black-2-white-2,sell,150,pokedollars,
heal-ball,black-2-white-2,buy,300,pokedollars,
heal-ball,black-white,sell,150,pokedollars,
heal-ball,black-white,buy,300,pokedollars,
heal-ball,brilliant-diamond-shining-pearl,sell,150,pokedollars,
heal-ball,brilliant-diamond-shining-pearl,buy,300,pokedollars,
heal-ball,diamond-pearl,buy,300,pokedollars,
heal-ball,diamond-pearl,sell,150,pokedollars,
heal-ball,legends-za,sell,75,pokedollars,
heal-ball,legends-za,buy,300,pokedollars,
heal-ball,omega-ruby-alpha-sapphire,sell,150,pokedollars,
heal-ball,omega-ruby-alpha-sapphire,buy,300,pokedollars,
heal-ball,platinum,buy,300,pokedollars,
heal-ball,platinum,sell,150,pokedollars,
heal-ball,scarlet-violet,sell,75,pokedollars,
heal-ball,scarlet-violet,buy,300,pokedollars,
heal-ball,sun-moon,sell,150,pokedollars,
heal-ball,sun-moon,buy,300,pokedollars,
heal-ball,sword-shield,sell,150,pokedollars,
heal-ball,sword-shield,buy,300,pokedollars,
heal-ball,ultra-sun-ultra-moon,sell,150,pokedollars,
heal-ball,ultra-sun-ultra-moon,buy,300,pokedollars,
heal-ball,x-y,sell,150,pokedollars,
heal-ball,x-y,buy,300,pokedollars,
heal-powder,crystal,sell,225,pokedollars,
heal-powder,crystal,buy,450,pokedollars,
heal-powder,gold-silver,sell,225,pokedollars,
heal-powder,gold-silver,buy,450,pokedollars,
heal-powder,scarlet-violet,sell,75,pokedollars,
heal-powder,scarlet-violet,buy,300,pokedollars,
heal-powder,sun-moon,sell,150,pokedollars,
heal-powder,sun-moon,buy,300,pokedollars,
heal-powder,ultra-sun-ultra-moon,sell,150,pokedollars,
heal-powder,ultra-sun-ultra-moon,buy,300,pokedollars,
health-candy,lets-go-pikachu-lets-go-eevee,sell,10,pokedollars,
health-candy-l,lets-go-pikachu-lets-go-eevee,sell,10,pokedollars,
health-candy-xl,lets-go-pikachu-lets-go-eevee,sell,10,pokedollars,
health-feather,black-white,sell,1500,pokedollars,
health-feather,omega-ruby-alpha-sapphire,sell,1500,pokedollars,
health-feather,scarlet-violet,sell,75,pokedollars,
health-feather,sun-moon,sell,150,pokedollars,
health-feather,sword-shield,sell,150,pokedollars,
health-feather,ultra-sun-ultra-moon,sell,150,pokedollars,
health-feather,x-y,sell,1500,pokedollars,
health-mochi,scarlet-violet,sell,125,pokedollars,
heart-mail,diamond-pearl,sell,25,pokedollars,
heart-mail,diamond-pearl,buy,50,pokedollars,
heart-mail,heartgold-soulsilver,buy,50,pokedollars,
heart-mail,heartgold-soulsilver,sell,25,pokedollars,
heart-mail,platinum,buy,50,pokedollars,
heart-mail,platinum,sell,25,pokedollars,
heart-scale,black,buy,10000,pokedollars,
heart-scale,diamond-pearl,sell,50,pokedollars,
heart-scale,emerald,sell,50,pokedollars,
heart-scale,lets-go-pikachu-lets-go-eevee,sell,50,pokedollars,
heart-scale,platinum,sell,50,pokedollars,
heart-scale,ruby-sapphire,sell,50,pokedollars,
heart-scale,x-y,sell,50,pokedollars,
hearty-grains,legends-arceus,buy,200,pokedollars,
hearty-grains,legends-arceus,sell,50,pokedollars,
heat-rock,black-2-white-2,sell,100,pokedollars,
heat-rock,black-white,sell,100,pokedollars,
heat-rock,brilliant-diamond-shining-pearl,sell,100,pokedollars,
heat-rock,diamond-pearl,sell,100,pokedollars,
heat-rock,heartgold-soulsilver,sell,100,pokedollars,
heat-rock,omega-ruby-alpha-sapphire,sell,100,pokedollars,
heat-rock,platinum,sell,100,pokedollars,
heat-rock,scarlet-violet,buy,8000,pokedollars,
heat-rock,scarlet-violet,sell,2000,pokedollars,
heat-rock,sun-moon,sell,2000,pokedollars,
heat-rock,sword-shield,sell,2000,pokedollars,
heat-rock,ultra-sun-ultra-moon,sell,2000,pokedollars,
heat-rock,x-y,sell,100,pokedollars,
heavy-ball,black-2-white-2,sell,150,pokedollars,
heavy-ball,black-white,sell,150,pokedollars,
heavy-ball,crystal,sell,150,pokedollars,
heavy-ball,gold-silver,sell,150,pokedollars,
heavy-ball,heartgold-soulsilver,sell,150,pokedollars,
heavy-ball,legends-arceus,buy,120,pokedollars,
heavy-ball,legends-arceus,sell,30,pokedollars,
heavy-ball,omega-ruby-alpha-sapphire,sell,150,pokedollars,
heavy-ball,x-y,sell,150,pokedollars,
heavy-duty-boots,scarlet-violet,buy,20000,pokedollars,
heavy-duty-boots,scarlet-violet,sell,5000,pokedollars,
heavy-duty-boots,sword-shield,sell,2000,pokedollars,
helix-fossil,diamond-pearl,sell,500,pokedollars,
helix-fossil,sun-moon,sell,3500,pokedollars,
helix-fossil,ultra-sun-ultra-moon,buy,7000,pokedollars,
herbed-sausage,scarlet-violet,sell,100,pokedollars,
herbed-sausage,scarlet-violet,buy,400,pokedollars,
heroic-sword-pick,scarlet-violet,buy,2000,pokedollars,
heroic-sword-pick,scarlet-violet,sell,500,pokedollars,
hondew-berry,emerald,sell,10,pokedollars,
hondew-berry,ruby-sapphire,sell,10,pokedollars,
hondew-berry,scarlet-violet,sell,20,pokedollars,
hondew-berry,sword-shield,sell,40,pokedollars,
honey,black-2-white-2,buy,3600,pokedollars,Marked with asterisk in source
honey,black-2-white-2,sell,50,pokedollars,
honey,diamond-pearl,buy,100,pokedollars,
honey,diamond-pearl,sell,50,pokedollars,
honey,platinum,buy,100,pokedollars,
honey,platinum,sell,50,pokedollars,
honey,scarlet-violet,sell,225,pokedollars,
honey,sun-moon,buy,300,pokedollars,
honey,sun-moon,sell,150,pokedollars,
honey,sword-shield,sell,450,pokedollars,
honey-cake,legends-arceus,buy,400,pokedollars,
honey-cake,legends-arceus,sell,100,pokedollars,
hopo-berry,legends-arceus,buy,300,pokedollars,
hopo-berry,legends-arceus,sell,75,pokedollars,
horseradish,scarlet-violet,buy,410,pokedollars,
horseradish,scarlet-violet,sell,102,pokedollars,
hp-up,legends-za,buy,5000,pokedollars,
hp-up,legends-za,sell,1250,pokedollars,
hp-up,red-blue,buy,9800,pokedollars,
hp-up,red-blue,sell,4900,pokedollars,
hp-up,scarlet-violet,buy,10000,pokedollars,
hp-up,scarlet-violet,sell,2500,pokedollars,
hp-up,sun-moon,buy,10000,pokedollars,
hp-up,sun-moon,sell,5000,pokedollars,
hyper-aspear-berry,legends-za,sell,10,pokedollars,
hyper-babiri-berry,legends-za,sell,10,pokedollars,
hyper-charti-berry,legends-za,sell,10,pokedollars,
hyper-cheri-berry,legends-za,sell,10,pokedollars,
hyper-chesto-berry,legends-za,sell,10,pokedollars,
hyper-chilan-berry,legends-za,sell,10,pokedollars,
hyper-chople-berry,legends-za,sell,10,pokedollars,
hyper-coba-berry,legends-za,sell,10,pokedollars,
hyper-colbur-berry,legends-za,sell,10,pokedollars,
hyper-grepa-berry,legends-za,sell,10,pokedollars,
hyper-haban-berry,legends-za,sell,10,pokedollars,
hyper-hondew-berry,legends-za,sell,10,pokedollars,
hyper-kasib-berry,legends-za,sell,10,pokedollars,
hyper-kebia-berry,legends-za,sell,10,pokedollars,
hyper-kelpsy-berry,legends-za,sell,10,pokedollars,
hyper-lum-berry,legends-za,sell,10,pokedollars,
hyper-occa-berry,legends-za,sell,10,pokedollars,
hyper-oran-berry,legends-za,sell,10,pokedollars,
hyper-passho-berry,legends-za,sell,10,pokedollars,
hyper-payapa-berry,legends-za,sell,10,pokedollars,
hyper-pecha-berry,legends-za,sell,10,pokedollars,
hyper-persim-berry,legends-za,sell,10,pokedollars,
hyper-pomeg-berry,legends-za,sell,10,pokedollars,
hyper-potion,crystal,buy,1200,pokedollars,
hyper-potion,crystal,sell,600,pokedollars,
hyper-potion,gold-silver,sell,600,pokedollars,
hyper-potion,gold-silver,buy,1200,pokedollars,
hyper-potion,legends-arceus,buy,800,pokedollars,
hyper-potion,legends-arceus,sell,200,pokedollars,
hyper-potion,red-blue,sell,750,pokedollars,
hyper-potion,red-blue,buy,1500,pokedollars,
hyper-potion,scarlet-violet,buy,1500,pokedollars,
hyper-potion,scarlet-violet,sell,375,pokedollars,
hyper-potion,yellow,buy,1500,pokedollars,
hyper-potion,yellow,sell,750,pokedollars,
hyper-qualot-berry,legends-za,sell,10,pokedollars,
hyper-rawst-berry,legends-za,sell,10,pokedollars,
hyper-rindo-berry,legends-za,sell,10,pokedollars,
hyper-roseli-berry,legends-za,sell,10,pokedollars,
hyper-shuca-berry,legends-za,sell,10,pokedollars,
hyper-sitrus-berry,legends-za,sell,10,pokedollars,
hyper-tamato-berry,legends-za,sell,10,pokedollars,
hyper-tanga-berry,legends-za,sell,10,pokedollars,
hyper-wacan-berry,legends-za,sell,10,pokedollars,
hyper-yache-berry,legends-za,sell,10,pokedollars,
iapapa-berry,black-2-white-2,sell,10,pokedollars,
iapapa-berry,black-white,sell,10,pokedollars,
iapapa-berry,brilliant-diamond-shining-pearl,sell,10,pokedollars,
iapapa-berry,diamond-pearl,sell,10,pokedollars,
iapapa-berry,emerald,sell,10,pokedollars,
iapapa-berry,firered-leafgreen,sell,10,pokedollars,
iapapa-berry,heartgold-soulsilver,sell,10,pokedollars,
iapapa-berry,legends-arceus,sell,150,pokedollars,
iapapa-berry,omega-ruby-alpha-sapphire,sell,10,pokedollars,
iapapa-berry,platinum,sell,10,pokedollars,
iapapa-berry,ruby-sapphire,sell,10,pokedollars,
iapapa-berry,scarlet-violet,sell,20,pokedollars,
iapapa-berry,sun-moon,sell,10,pokedollars,
iapapa-berry,sword-shield,sell,40,pokedollars,
iapapa-berry,ultra-sun-ultra-moon,sell,10,pokedollars,
iapapa-berry,x-y,sell,10,pokedollars,
ice-berry,crystal,sell,5,pokedollars,
ice-berry,gold-silver,sell,5,pokedollars,
ice-gem,black-2-white-2,sell,100,pokedollars,
ice-gem,black-white,sell,100,pokedollars,
ice-gem,lets-go-pikachu-lets-go-eevee,sell,100,pokedollars,
ice-gem,omega-ruby-alpha-sapphire,sell,100,pokedollars,
ice-gem,sun-moon,sell,100,pokedollars,
ice-gem,ultra-sun-ultra-moon,sell,100,pokedollars,
ice-gem,x-y,sell,100,pokedollars,
ice-heal,legends-za,sell,25,pokedollars,
ice-heal,legends-za,buy,100,pokedollars,
ice-heal,red-blue,buy,250,pokedollars,
ice-heal,red-blue,sell,125,pokedollars,
ice-heal,scarlet-violet,buy,200,pokedollars,
ice-heal,scarlet-violet,sell,50,pokedollars,
ice-heal,sun-moon,sell,50,pokedollars,
ice-heal,sun-moon,buy,100,pokedollars,
ice-heal,sword-shield,buy,200,pokedollars,
ice-heal,sword-shield,sell,100,pokedollars,
ice-heal,ultra-sun-ultra-moon,sell,50,pokedollars,
ice-heal,ultra-sun-ultra-moon,buy,100,pokedollars,
ice-heal,yellow,buy,250,pokedollars,
ice-heal,yellow,sell,125,pokedollars,
ice-memory,sun-moon,sell,500,pokedollars,
ice-memory,sword-shield,sell,500,pokedollars,
ice-memory,ultra-sun-ultra-moon,sell,500,pokedollars,
ice-stone,legends-arceus,sell,750,pokedollars,
ice-stone,legends-za,sell,750,pokedollars,
ice-stone,legends-za,buy,3000,pokedollars,
ice-stone,lets-go-pikachu-lets-go-eevee,buy,5000,pokedollars,
ice-stone,lets-go-pikachu-lets-go-eevee,sell,2500,pokedollars,
ice-stone,sun-moon,sell,1500,pokedollars,
ice-tera-shard,scarlet-violet,sell,500,pokedollars,
icicle-plate,black-2-white-2,sell,500,pokedollars,
icicle-plate,black-white,sell,500,pokedollars,
icicle-plate,brilliant-diamond-shining-pearl,sell,500,pokedollars,
icicle-plate,diamond-pearl,sell,500,pokedollars,
icicle-plate,heartgold-soulsilver,sell,500,pokedollars,
icicle-plate,omega-ruby-alpha-sapphire,sell,500,pokedollars,
icicle-plate,platinum,sell,500,pokedollars,
icicle-plate,sun-moon,sell,500,pokedollars,
icicle-plate,ultra-sun-ultra-moon,sell,500,pokedollars,
icicle-plate,x-y,sell,500,pokedollars,
icy-rock,black-2-white-2,sell,100,pokedollars,
icy-rock,black-white,sell,100,pokedollars,
icy-rock,brilliant-diamond-shining-pearl,sell,100,pokedollars,
icy-rock,diamond-pearl,sell,100,pokedollars,
icy-rock,heartgold-soulsilver,sell,100,pokedollars,
icy-rock,omega-ruby-alpha-sapphire,sell,100,pokedollars,
icy-rock,platinum,sell,100,pokedollars,
icy-rock,scarlet-violet,buy,8000,pokedollars,
icy-rock,scarlet-violet,sell,2000,pokedollars,
icy-rock,sun-moon,sell,2000,pokedollars,
icy-rock,sword-shield,sell,2000,pokedollars,
icy-rock,ultra-sun-ultra-moon,sell,2000,pokedollars,
icy-rock,x-y,sell,100,pokedollars,
impish-mint,brilliant-diamond-shining-pearl,sell,10,pokedollars,
impish-mint,legends-arceus,sell,500,pokedollars,
impish-mint,scarlet-violet,sell,5000,pokedollars,
impish-mint,scarlet-violet,buy,20000,pokedollars,
impish-mint,sword-shield,sell,10,pokedollars,
inquiry-mail,black-2-white-2,buy,50,pokedollars,
inquiry-mail,black-2-white-2,sell,25,pokedollars,
inquiry-mail,black-white,buy,50,pokedollars,
inquiry-mail,black-white,sell,25,pokedollars,
insect-plate,black-2-white-2,sell,500,pokedollars,
insect-plate,black-white,sell,500,pokedollars,
insect-plate,brilliant-diamond-shining-pearl,sell,500,pokedollars,
insect-plate,diamond-pearl,sell,500,pokedollars,
insect-plate,heartgold-soulsilver,sell,500,pokedollars,
insect-plate,omega-ruby-alpha-sapphire,sell,500,pokedollars,
insect-plate,platinum,sell,500,pokedollars,
insect-plate,sun-moon,sell,500,pokedollars,
insect-plate,ultra-sun-ultra-moon,sell,500,pokedollars,
insect-plate,x-y,sell,500,pokedollars,
instant-noodles,sword-shield,buy,150,pokedollars,
instant-noodles,sword-shield,sell,75,pokedollars,
iron,red-blue,buy,9800,pokedollars,
iron,red-blue,sell,4900,pokedollars,
iron,scarlet-violet,buy,10000,pokedollars,
iron,scarlet-violet,sell,2500,pokedollars,
iron,sun-moon,buy,10000,pokedollars,
iron,sun-moon,sell,5000,pokedollars,
iron-ball,diamond-pearl,sell,100,pokedollars,
iron-ball,platinum,sell,100,pokedollars,
iron-ball,scarlet-violet,sell,5000,pokedollars,
iron-ball,scarlet-violet,buy,20000,pokedollars,
iron-ball,sun-moon,sell,2000,pokedollars,
iron-ball,ultra-sun-ultra-moon,sell,2000,pokedollars,
iron-barktongue,legends-arceus,buy,240,pokedollars,
iron-barktongue,legends-arceus,sell,60,pokedollars,
iron-chunk,legends-arceus,buy,200,pokedollars,
iron-chunk,legends-arceus,sell,50,pokedollars,
iron-plate,black-2-white-2,sell,500,pokedollars,
iron-plate,black-white,sell,500,pokedollars,
iron-plate,brilliant-diamond-shining-pearl,sell,500,pokedollars,
iron-plate,diamond-pearl,sell,500,pokedollars,
iron-plate,heartgold-soulsilver,sell,500,pokedollars,
iron-plate,omega-ruby-alpha-sapphire,sell,500,pokedollars,
iron-plate,platinum,sell,500,pokedollars,
iron-plate,sun-moon,buy,10000,pokedollars,
iron-plate,sun-moon,sell,500,pokedollars,
iron-plate,ultra-sun-ultra-moon,buy,10000,pokedollars,
iron-plate,ultra-sun-ultra-moon,sell,500,pokedollars,
iron-plate,x-y,sell,500,pokedollars,
jaboca-berry,black-2-white-2,sell,10,pokedollars,
jaboca-berry,black-white,sell,10,pokedollars,
jaboca-berry,brilliant-diamond-shining-pearl,sell,10,pokedollars,
jaboca-berry,diamond-pearl,sell,10,pokedollars,
jaboca-berry,heartgold-soulsilver,sell,10,pokedollars,
jaboca-berry,omega-ruby-alpha-sapphire,sell,10,pokedollars,
jaboca-berry,platinum,sell,10,pokedollars,
jaboca-berry,scarlet-violet,sell,20,pokedollars,
jaboca-berry,sword-shield,sell,40,pokedollars,
jaboca-berry,x-y,sell,10,pokedollars,
jalapeno,scarlet-violet,buy,220,pokedollars,
jalapeno,scarlet-violet,sell,55,pokedollars,
jam,scarlet-violet,buy,120,pokedollars,
jam,scarlet-violet,sell,30,pokedollars,
jaw-fossil,legends-za,sell,10000,pokedollars,
jaw-fossil,legends-za,buy,20000,pokedollars,
jaw-fossil,sun-moon,sell,3500,pokedollars,
jaw-fossil,ultra-sun-ultra-moon,sell,3500,pokedollars,
jaw-fossil,ultra-sun-ultra-moon,buy,7000,pokedollars,
jaw-fossil,x-y,sell,500,pokedollars,
jet-ball,legends-arceus,sell,170,pokedollars,
johto-slate,brilliant-diamond,buy,3,,Requires 3 Mysterious Shards S or 1 Mysterious Shard L
jolly-mint,brilliant-diamond-shining-pearl,sell,10,pokedollars,
jolly-mint,legends-arceus,sell,500,pokedollars,
jolly-mint,scarlet-violet,sell,5000,pokedollars,
jolly-mint,scarlet-violet,buy,20000,pokedollars,
jolly-mint,sword-shield,sell,10,pokedollars,
jubilife-muffin,legends-arceus,sell,125,pokedollars,
kangaskhanite,legends-za,buy,70000,pokedollars,
kangaskhanite,lets-go-pikachu-lets-go-eevee,buy,30000,pokedollars,
kanto-slate,brilliant-diamond-shining-pearl,buy,,,Costs 3 Mysterious Shards S or 1 Mysterious Shard L.
kasib-berry,diamond-pearl,sell,10,pokedollars,
kasib-berry,scarlet-violet,sell,20,pokedollars,
kasib-berry,sword-shield,sell,40,pokedollars,
kebia-berry,diamond-pearl,sell,10,pokedollars,
kebia-berry,platinum,sell,10,pokedollars,
kebia-berry,scarlet-violet,sell,20,pokedollars,
kebia-berry,sword-shield,sell,40,pokedollars,
kee-berry,omega-ruby-alpha-sapphire,sell,10,pokedollars,
kee-berry,scarlet-violet,sell,20,pokedollars,
kee-berry,sun-moon,sell,10,pokedollars,
kee-berry,sword-shield,sell,40,pokedollars,
kee-berry,ultra-sun-ultra-moon,sell,10,pokedollars,
kee-berry,x-y,sell,10,pokedollars,
kelpsy-berry,black-2-white-2,sell,10,pokedollars,
kelpsy-berry,black-white,sell,10,pokedollars,
kelpsy-berry,brilliant-diamond-shining-pearl,sell,10,pokedollars,
kelpsy-berry,diamond-pearl,sell,10,pokedollars,
kelpsy-berry,emerald,sell,10,pokedollars,
kelpsy-berry,firered-leafgreen,sell,10,pokedollars,
kelpsy-berry,heartgold-soulsilver,sell,10,pokedollars,
kelpsy-berry,omega-ruby-alpha-sapphire,sell,10,pokedollars,
kelpsy-berry,platinum,sell,10,pokedollars,
kelpsy-berry,ruby-sapphire,sell,10,pokedollars,
kelpsy-berry,scarlet-violet,sell,20,pokedollars,
kelpsy-berry,sun-moon,sell,10,pokedollars,
kelpsy-berry,sword-shield,sell,40,pokedollars,
kelpsy-berry,ultra-sun-ultra-moon,sell,10,pokedollars,
kelpsy-berry,x-y,sell,10,pokedollars,
ketchup,scarlet-violet,buy,110,pokedollars,
ketchup,scarlet-violet,sell,27,pokedollars,
kings-leaf,legends-arceus,buy,1000,pokedollars,
kings-leaf,legends-arceus,sell,250,pokedollars,
kings-rock,black-2-white-2,buy,6000,pokedollars,
kings-rock,scarlet-violet,buy,10000,pokedollars,
kiwi,scarlet-violet,buy,180,pokedollars,
kiwi,scarlet-violet,sell,45,pokedollars,
klawf-stick,scarlet-violet,sell,125,pokedollars,
klawf-stick,scarlet-violet,buy,500,pokedollars,
lagging-tail,black-2-white-2,sell,100,pokedollars,
lagging-tail,black-white,sell,100,pokedollars,
lagging-tail,brilliant-diamond-shining-pearl,sell,100,pokedollars,
lagging-tail,diamond-pearl,sell,100,pokedollars,
lagging-tail,heartgold-soulsilver,sell,100,pokedollars,
lagging-tail,omega-ruby-alpha-sapphire,sell,100,pokedollars,
lagging-tail,scarlet-violet,sell,5000,pokedollars,
lagging-tail,scarlet-violet,buy,20000,pokedollars,
lagging-tail,sun-moon,sell,2000,pokedollars,
lagging-tail,sword-shield,sell,2000,pokedollars,
lagging-tail,ultra-sun-ultra-moon,sell,2000,pokedollars,
lagging-tail,x-y,sell,100,pokedollars,
lansat-berry,diamond-pearl,sell,10,pokedollars,
lansat-berry,emerald,sell,10,pokedollars,
lansat-berry,platinum,sell,10,pokedollars,
lansat-berry,ruby-sapphire,sell,10,pokedollars,
lansat-berry,scarlet-violet,sell,20,pokedollars,
lansat-berry,sword-shield,sell,40,pokedollars,
large-leek,sword-shield,buy,2200,pokedollars,
large-leek,sword-shield,sell,1100,pokedollars,
lava-cookie,black-2-white-2,buy,1000,pokedollars,Special shop pricing
lava-cookie,black-2-white-2,sell,100,pokedollars,
lava-cookie,emerald,sell,100,pokedollars,
lava-cookie,emerald,buy,200,pokedollars,
lava-cookie,firered-leafgreen,sell,100,pokedollars,
lava-cookie,firered-leafgreen,buy,200,pokedollars,
lava-cookie,omega-ruby-alpha-sapphire,buy,200,pokedollars,
lava-cookie,omega-ruby-alpha-sapphire,sell,100,pokedollars,
lava-cookie,platinum,sell,100,pokedollars,
lava-cookie,platinum,buy,200,pokedollars,
lava-cookie,ruby-sapphire,sell,100,pokedollars,
lava-cookie,ruby-sapphire,buy,200,pokedollars,
lava-cookie,sword-shield,sell,175,pokedollars,
lava-cookie,sword-shield,buy,350,pokedollars,
lax-incense,black-white,sell,4800,pokedollars,
lax-incense,black-white,buy,9600,pokedollars,
lax-incense,diamond-pearl,sell,4800,pokedollars,
lax-incense,ruby-sapphire,sell,4800,pokedollars,
lax-incense,sun-moon,buy,5000,pokedollars,
lax-incense,sun-moon,sell,2500,pokedollars,
lax-mint,brilliant-diamond-shining-pearl,sell,10,pokedollars,
lax-mint,legends-arceus,sell,500,pokedollars,
lax-mint,scarlet-violet,buy,20000,pokedollars,
lax-mint,scarlet-violet,sell,5000,pokedollars,
lax-mint,sword-shield,sell,10,pokedollars,
leaden-ball,legends-arceus,sell,80,pokedollars,
leaden-ball,legends-arceus,buy,320,pokedollars,
leaders-crest,scarlet-violet,sell,750,pokedollars,
leaf-stone,red-blue,buy,2100,pokedollars,
leaf-stone,red-blue,sell,1050,pokedollars,
leaf-stone,scarlet-violet,sell,750,pokedollars,
leaf-stone,scarlet-violet,buy,3000,pokedollars,
leaf-stone,sun-moon,buy,3000,pokedollars,
leaf-stone,sun-moon,sell,1500,pokedollars,
leaf-stone,yellow,sell,1050,pokedollars,
leaf-stone,yellow,buy,2100,pokedollars,
leafy-tablecloth,scarlet-violet,buy,2000,pokedollars,
leafy-tablecloth,scarlet-violet,sell,500,pokedollars,
leek,gold-silver,sell,100,pokedollars,
leek,sun-moon,sell,500,pokedollars,
leek,sword-shield,sell,500,pokedollars,
leftovers,black-2-white-2,sell,100,pokedollars,Can be sold to Gourmet Maniac for 200
leftovers,black-white,sell,100,pokedollars,Can be sold to Gourmet Maniac for 200
leftovers,crystal,sell,100,pokedollars,
leftovers,diamond-pearl,sell,100,pokedollars,
leftovers,emerald,sell,100,pokedollars,
leftovers,firered-leafgreen,sell,100,pokedollars,
leftovers,gold-silver,sell,100,pokedollars,
leftovers,heartgold-soulsilver,sell,100,pokedollars,
leftovers,platinum,sell,100,pokedollars,
leftovers,ruby-sapphire,sell,100,pokedollars,
leftovers,scarlet-violet,sell,5000,pokedollars,
leftovers,scarlet-violet,buy,20000,pokedollars,
leftovers,sun-moon,sell,2000,pokedollars,
leftovers,sword-shield,sell,2000,pokedollars,
leftovers,ultra-sun-ultra-moon,sell,2000,pokedollars,
lemonade,red-blue,sell,175,pokedollars,
lemonade,red-blue,buy,350,pokedollars,
lemonade,scarlet-violet,sell,100,pokedollars,
lemonade,scarlet-violet,buy,350,pokedollars,Some locations charge 400
lemonade,sun-moon,buy,350,pokedollars,
lemonade,sun-moon,sell,200,pokedollars,
lemonade,yellow,buy,350,pokedollars,
lemonade,yellow,sell,175,pokedollars,
leppa-berry,emerald,sell,10,pokedollars,
leppa-berry,legends-arceus,sell,200,pokedollars,
leppa-berry,legends-arceus,buy,800,pokedollars,
leppa-berry,ruby-sapphire,sell,10,pokedollars,
leppa-berry,scarlet-violet,sell,20,pokedollars,
leppa-berry,sword-shield,sell,40,pokedollars,
lettuce,scarlet-violet,buy,90,pokedollars,
lettuce,scarlet-violet,sell,22,pokedollars,
level-ball,black-2-white-2,sell,150,pokedollars,
level-ball,black-white,sell,150,pokedollars,
level-ball,crystal,sell,150,pokedollars,
level-ball,gold-silver,sell,150,pokedollars,
level-ball,heartgold-soulsilver,sell,150,pokedollars,
level-ball,omega-ruby-alpha-sapphire,sell,150,pokedollars,
level-ball,x-y,sell,150,pokedollars,
liechi-berry,diamond-pearl,sell,10,pokedollars,
liechi-berry,emerald,sell,10,pokedollars,
liechi-berry,platinum,sell,10,pokedollars,
liechi-berry,ruby-sapphire,sell,10,pokedollars,
liechi-berry,scarlet-violet,sell,20,pokedollars,
liechi-berry,sword-shield,sell,40,pokedollars,
life-orb,diamond-pearl,sell,100,pokedollars,
life-orb,platinum,sell,100,pokedollars,
life-orb,scarlet-violet,buy,50000,pokedollars,
life-orb,scarlet-violet,sell,12500,pokedollars,
